        Frequency / GHz                c1=0.6/real
----------------------------------------------------------------------
                    0.69                       0.8231224
                    0.78                      0.45547172
                    0.87                      0.22193852
                    0.96                      0.10352005
                     1.7                     0.004255566
                     1.8                     0.039823313
                     1.9                     0.022952304
                       2                     0.018399206
                     2.1                     0.010301693
                     2.2                      0.01525107
                     2.3                     0.018465003
                     2.4                     0.016139621
                     2.5                     0.029312627
                     2.6                     0.027147469
                     2.7                     0.016004604

        Frequency / GHz                c1=0.9/real
----------------------------------------------------------------------
                    0.69                      0.81970604
                    0.78                      0.42182335
                    0.87                      0.27648334
                    0.96                      0.11991308
                     1.7                    0.0031478891
                     1.8                     0.040084291
                     1.9                     0.022392259
                       2                     0.014797052
                     2.1                     0.010056105
                     2.2                     0.013306814
                     2.3                     0.017268692
                     2.4                     0.019937059
                     2.5                     0.036199536
                     2.6                     0.030691073
                     2.7                     0.015582345

        Frequency / GHz                c1=1.2/real
----------------------------------------------------------------------
                    0.69                       0.8156529
                    0.78                      0.38288838
                    0.87                       0.3372982
                    0.96                      0.13430607
                     1.7                    0.0022215997
                     1.8                      0.04037209
                     1.9                     0.021606565
                       2                     0.011444929
                     2.1                     0.011098938
                     2.2                     0.012883046
                     2.3                     0.019605313
                     2.4                     0.025454261
                     2.5                     0.041569137
                     2.6                     0.031965873
                     2.7                     0.014465298

        Frequency / GHz                c1=1.5/real
----------------------------------------------------------------------
                    0.69                      0.81079928
                    0.78                       0.3393839
                    0.87                       0.3962085
                    0.96                      0.14669846
                     1.7                      0.00149385
                     1.8                     0.040689446
                     1.9                     0.020531652
                       2                    0.0088500685
                     2.1                     0.013594619
                     2.2                     0.014934026
                     2.3                     0.025665443
                     2.4                     0.030954939
                     2.5                     0.044414465
                     2.6                     0.031748371
                     2.7                     0.013261186

        Frequency / GHz                c1=1.8/real
----------------------------------------------------------------------
                    0.69                      0.80492758
                    0.78                      0.29411731
                    0.87                       0.4472636
                    0.96                      0.15723702
                     1.7                   0.00096507103
                     1.8                     0.041039287
                     1.9                     0.019099421
                       2                    0.0076336199
                     2.1                     0.017449165
                     2.2                     0.019816499
                     2.3                       0.0337365
                     2.4                     0.035082067
                     2.5                     0.045298126
                     2.6                     0.030889042
                     2.7                     0.012204863

        Frequency / GHz                c1=2.1/real
----------------------------------------------------------------------
                    0.69                       0.7977445
                    0.78                      0.25348091
                    0.87                      0.48789636
                    0.96                      0.16613404
                     1.7                   0.00062229783
                     1.8                     0.041424761
                     1.9                     0.017250955
                       2                    0.0083343024
                     2.1                     0.022295415
                     2.2                     0.026690628
                     2.3                     0.041552547
                     2.4                     0.037604237
                     2.5                     0.045102697
                     2.6                     0.029865218
                     2.7                     0.011339255

        Frequency / GHz                c1=2.4/real
----------------------------------------------------------------------
                    0.69                      0.78884908
                    0.78                      0.22821283
                    0.87                      0.51822483
                    0.96                      0.17361761
                     1.7                   0.00044370764
                     1.8                     0.041849181
                     1.9                     0.014962173
                       2                     0.011132484
                     2.1                     0.027602553
                     2.2                     0.033917323
                     2.3                     0.047823519
                     2.4                     0.038912357
                     2.5                      0.04443318
                     2.6                     0.028878239
                     2.7                     0.010643433

        Frequency / GHz                c1=2.7/real
----------------------------------------------------------------------
                    0.69                      0.77768616
                    0.78                      0.23078819
                    0.87                      0.53975952
                    0.96                      0.17990479
                     1.7                   0.00040312271
                     1.8                     0.042315957
                     1.9                     0.012280634
                       2                     0.015691836
                     2.1                     0.032847005
                     2.2                     0.040141786
                     2.3                     0.052349505
                     2.4                     0.039461649
                     2.5                     0.043607611
                     2.6                     0.027994792
                     2.7                     0.010083864

        Frequency / GHz                c1=3/real
----------------------------------------------------------------------
                    0.69                      0.76347721
                    0.78                      0.26792876
                    0.87                      0.55439811
                    0.96                      0.18518947
                     1.7                   0.00047361698
                     1.8                     0.042828559
                     1.9                    0.0093600343
                       2                     0.021283695
                     2.1                     0.037643503
                     2.2                     0.044837662
                     2.3                     0.055441557
                     2.4                     0.039580068
                     2.5                     0.042772657
                     2.6                     0.027226162
                     2.7                    0.0096301025

        Frequency / GHz                c1=3.3/real
----------------------------------------------------------------------
                    0.69                      0.74512084
                    0.78                      0.33370315
                    0.87                      0.56389567
                    0.96                      0.18963867
                     1.7                   0.00062995819
                     1.8                     0.043390376
                     1.9                    0.0064640101
                       2                     0.027107523
                     2.1                     0.041786373
                     2.2                     0.048094904
                     2.3                     0.057497858
                     2.4                     0.039468133
                     2.5                      0.04198885
                     2.6                     0.026563687
                     2.7                    0.0092579886

        Frequency / GHz                c1=3.6/real
----------------------------------------------------------------------
                    0.69                      0.72105644
                    0.78                      0.41223806
                    0.87                      0.56967784
                    0.96                      0.19339329
                     1.7                   0.00084995514
                     1.8                     0.044004544
                     1.9                    0.0039119988
                       2                     0.032559879
                     2.1                     0.045220424
                     2.2                     0.050235163
                     2.3                     0.058846041
                     2.4                     0.039240503
                     2.5                     0.041276577
                     2.6                     0.025993105
                     2.7                    0.0089491708

        Frequency / GHz                c1=3.9/real
----------------------------------------------------------------------
                    0.69                      0.68910371
                    0.78                      0.48788605
                    0.87                      0.57282755
                    0.96                      0.19657047
                     1.7                    0.0011149888
                     1.8                     0.044673758
                     1.9                    0.0019773384
                       2                     0.037319105
                     2.1                     0.047985727
                     2.2                     0.051584871
                     2.3                      0.05972002
                     2.4                     0.038960847
                     2.5                     0.040638523
                     2.6                     0.025500037
                     2.7                    0.0086898968

        Frequency / GHz                c1=4.2/real
----------------------------------------------------------------------
                    0.69                      0.64636811
                    0.78                      0.55189127
                    0.87                      0.57413774
                    0.96                      0.19926714
                     1.7                    0.0014099926
                     1.8                     0.045399992
                     1.9                   0.00079624805
                       2                     0.041291718
                     2.1                     0.050168222
                     2.2                     0.052399826
                     2.3                     0.060277742
                     2.4                      0.03866388
                     2.5                     0.040070049
                     2.6                     0.025071728
                     2.7                    0.0084698399

        Frequency / GHz                c1=4.5/real
----------------------------------------------------------------------
                    0.69                      0.58953376
                    0.78                      0.60210105
                    0.87                      0.57417778
                    0.96                      0.20156309
                     1.7                    0.0017231236
                     1.8                     0.046184108
                     1.9                   0.00034553118
                       2                      0.04451889
                     2.1                      0.05186658
                     2.2                     0.052860847
                     2.3                     0.060623905
                     2.4                     0.038368143
                     2.5                     0.039564002
                     2.6                     0.024697456
                     2.7                    0.0082811825

        Frequency / GHz                c1=4.8/real
----------------------------------------------------------------------
                    0.69                      0.51645309
                    0.78                      0.63990867
                    0.87                      0.57335215
                    0.96                      0.20352375
                     1.7                    0.0020453053
                     1.8                      0.04702555
                     1.9                   0.00048983441
                       2                     0.047100652
                     2.1                     0.053174524
                     2.2                     0.053089997
