        Frequency / GHz                S2,2 (19)/abs,dB
----------------------------------------------------------------------
                       0                 -8.6858896e-007
                  0.0035                 -9.6432747e-016
                   0.007                 -1.7357894e-014
                  0.0105                  -1.755076e-013
                   0.014                  -7.444608e-013
                  0.0175                 -1.9652994e-012
                   0.021                 -3.7579841e-012
                  0.0245                 -5.9286853e-012
                   0.028                 -9.2623653e-012
                  0.0315                 -1.7146707e-011
                   0.035                 -3.6338752e-011
                  0.0385                 -7.4974532e-011
                   0.042                 -1.3888533e-010
                  0.0455                 -2.2746653e-010
                   0.049                 -3.3444323e-010
                  0.0525                 -4.5605746e-010
                   0.056                 -6.0220514e-010
                  0.0595                 -8.0825685e-010
                   0.063                 -1.1315746e-009
                  0.0665                 -1.6339796e-009
                    0.07                 -2.3571056e-009
                  0.0735                 -3.2946836e-009
                   0.077                 -4.4011308e-009
                  0.0805                 -5.6286541e-009
                   0.084                 -6.9789748e-009
                  0.0875                 -8.5649647e-009
                   0.091                 -1.0604546e-008
                  0.0945                 -1.3364632e-008
                   0.098                 -1.7061311e-008
                  0.1015                 -2.1748065e-008
                   0.105                 -2.7285589e-008
                  0.1085                  -3.345223e-008
                   0.112                 -4.0081203e-008
                  0.1155                 -4.7302896e-008
                   0.119                 -5.5603783e-008
                  0.1225                 -6.5755015e-008
                   0.126                 -7.8541782e-008
                  0.1295                 -9.4418722e-008
                   0.133                 -1.1331192e-007
                  0.1365                 -1.3467324e-007
                    0.14                 -1.5777692e-007
                  0.1435                 -1.8236755e-007
                   0.147                  -2.090091e-007
                  0.1505                 -2.3919799e-007
                   0.154                 -2.7495011e-007
                  0.1575                 -3.1801726e-007
                   0.161                 -3.6918523e-007
                  0.1645                 -4.2785678e-007
                   0.168                 -4.9253441e-007
                  0.1715                 -5.6168461e-007
                   0.175                 -6.3513611e-007
                  0.1785                 -7.1466759e-007
                   0.182                 -8.0400487e-007
                  0.1855                 -9.0755716e-007
                   0.189                 -1.0286265e-006
                  0.1925                 -1.1682143e-006
                   0.196                 -1.3244684e-006
                  0.1995                 -1.4942001e-006
                   0.203                 -1.6748247e-006
                  0.2065                 -1.8669676e-006
                    0.21                 -2.0754945e-006
                  0.2135                 -2.3084893e-006
                   0.217                  -2.574687e-006
                  0.2205                 -2.8798462e-006
                   0.224                 -3.2247091e-006
                  0.2275                 -3.6051296e-006
                   0.231                 -4.0150839e-006
                  0.2345                 -4.4510744e-006
                   0.238                 -4.9164802e-006
                  0.2415                 -5.4224424e-006
                   0.245                 -5.9852176e-006
                  0.2485                 -6.6211079e-006
                   0.252                 -7.3402041e-006
                  0.2555                  -8.142626e-006
                   0.259                 -9.0207419e-006
                  0.2625                 -9.9654532e-006
                   0.266                 -1.0973905e-005
                  0.2695                  -1.205548e-005
                   0.273                 -1.3233765e-005
                  0.2765                 -1.4539922e-005
                    0.28                  -1.600251e-005
                  0.2835                 -1.7638768e-005
                   0.287                 -1.9448994e-005
                  0.2905                 -2.1422584e-005
                   0.294                  -2.354934e-005
                  0.2975                 -2.5832035e-005
                   0.301                 -2.8296502e-005
                  0.3045                  -3.098992e-005
                   0.308                  -3.396921e-005
                  0.3115                 -3.7285478e-005
                   0.315                 -4.0966763e-005
                  0.3185                 -4.5016371e-005
                   0.322                 -4.9423581e-005
                  0.3255                 -5.4181556e-005
                   0.329                 -5.9312023e-005
                  0.3325                 -6.4875345e-005
                   0.336                 -7.0964426e-005
                  0.3395                 -7.7683741e-005
                   0.343                 -8.5119744e-005
                  0.3465                 -9.3321907e-005
                    0.35                  -0.00010229511
                  0.3535                  -0.00011202768
                   0.357                  -0.00012252035
                  0.3605                   -0.0001338208
                   0.364                  -0.00014603663
                  0.3675                  -0.00015931897
                   0.371                  -0.00017382635
                  0.3745                  -0.00018967399
                   0.378                   -0.0002069045
                  0.3815                  -0.00022548703
                   0.385                   -0.0002453584
                  0.3885                  -0.00026647006
                   0.392                   -0.0002888352
                  0.3955                  -0.00031254686
                   0.399                  -0.00033774701
                  0.4025                  -0.00036455471
                   0.406                  -0.00039300962
                  0.4095                  -0.00042302698
                   0.413                  -0.00045442302
                  0.4165                  -0.00048697218
                    0.42                  -0.00052050568
                  0.4235                  -0.00055497278
                   0.427                   -0.0005904526
                  0.4305                   -0.0006271134
                   0.434                  -0.00066510238
                  0.4375                  -0.00070446245
                   0.441                  -0.00074509367
                  0.4445                  -0.00078679509
                   0.448                  -0.00082938304
                  0.4515                  -0.00087281374
                   0.455                  -0.00091726752
                  0.4585                  -0.00096313906
                   0.462                    -0.001010942
                  0.4655                   -0.0010611276
                   0.469                   -0.0011139576
                  0.4725                   -0.0011694664
                   0.476                   -0.0012275472
                  0.4795                    -0.001288115
                   0.483                   -0.0013513223
                  0.4865                   -0.0014176475
                    0.49                   -0.0014878769
                  0.4935                   -0.0015629091
                   0.497                   -0.0016435291
                  0.5005                   -0.0017302071
                   0.504                   -0.0018230842
                  0.5075                   -0.0019221041
                   0.511                   -0.0020273101
                  0.5145                   -0.0021391046
                   0.518                   -0.0022583955
                  0.5215                   -0.0023865251
                   0.525                   -0.0025249549
                  0.5285                   -0.0026749423
                   0.532                   -0.0028373242
                  0.5355                   -0.0030124354
                   0.539                   -0.0032004638
                  0.5425                    -0.003401801
                   0.546                   -0.0036174902
                  0.5495                   -0.0038492965
                   0.553                   -0.0040995458
                  0.5565                   -0.0043705887
                    0.56                   -0.0046643156
                  0.5635                   -0.0049818095
                   0.567                   -0.0053233662
                  0.5705                   -0.0056889746
                   0.574                   -0.0060789033
                  0.5775                   -0.0064942291
                   0.581                   -0.0069368174
                  0.5845                    -0.007408719
                   0.588                   -0.0079113396
                  0.5915                   -0.0084443513
                   0.595                   -0.0090051101
                  0.5985                   -0.0095885899
                   0.602                    -0.010188011
                  0.6055                    -0.010795721
                   0.609                    -0.011403768
                  0.6125                    -0.012003932
                   0.616                    -0.012587015
                  0.6195                    -0.013142045
                   0.623                    -0.013655556
                  0.6265                    -0.014112147
                    0.63                    -0.014495864
                  0.6335                    -0.014792963
                   0.637                    -0.014994672
                  0.6405                    -0.015099344
                   0.644                    -0.015113225
                  0.6475                     -0.01504984
                   0.651                    -0.014928035
                  0.6545                    -0.014769826
                   0.658                    -0.014598251
                  0.6615                    -0.014436763
                   0.665                    -0.014308966
                  0.6685                    -0.014238994
                   0.672                    -0.014252297
                  0.6755                    -0.014374617
                   0.679                    -0.014631015
                  0.6825                    -0.015043429
                   0.686                    -0.015629445
                  0.6895                    -0.016402012
                   0.693                    -0.017370665
                  0.6965                     -0.01854465
                     0.7                    -0.019935857
                  0.7035                    -0.021560423
                   0.707                    -0.023438333
                  0.7105                     -0.02559029
                   0.714                    -0.028033893
                  0.7175                    -0.030780633
                   0.721                    -0.033835995
                  0.7245                    -0.037201895
                   0.728                    -0.040882671
                  0.7315                    -0.044890287
                   0.735                     -0.04924582
                  0.7385                    -0.053977214
                   0.742                    -0.059113295
                  0.7455                    -0.064675598
                   0.749                    -0.070674923
                  0.7525                    -0.077111537
                   0.756                    -0.083984014
                  0.7595                     -0.09129986
                   0.763                    -0.099085672
                  0.7665                     -0.10738964
                    0.77                     -0.11627586
                  0.7735                     -0.12581279
                   0.777                     -0.13606029
                  0.7805                     -0.14706249
                   0.784                     -0.15885351
                  0.7875                     -0.17147097
                   0.791                     -0.18497767
                  0.7945                     -0.19947597
                   0.798                     -0.21511047
                  0.8015                     -0.23205733
                   0.805                     -0.25050119
