        Frequency / GHz                S1,1 (c1=0.6)/abs,dB
----------------------------------------------------------------------
                       0                 -8.6858896e-007
                  0.0035                 -9.6432747e-016
                   0.007                 -6.9431578e-014
                  0.0105                 -7.3963917e-013
                   0.014                 -3.8891327e-012
                  0.0175                 -1.3757096e-011
                   0.021                 -3.7787172e-011
                  0.0245                 -8.7529111e-011
                   0.028                 -1.8008912e-010
                  0.0315                 -3.4110866e-010
                   0.035                 -6.1012613e-010
                  0.0385                 -1.0475374e-009
                   0.042                  -1.742559e-009
                  0.0455                 -2.8206347e-009
                   0.049                 -4.4447087e-009
                  0.0525                 -6.8158463e-009
                   0.056                 -1.0166174e-008
                  0.0595                 -1.4754624e-008
                   0.063                 -2.0866837e-008
                  0.0665                 -2.8824182e-008
                    0.07                 -3.9011797e-008
                  0.0735                 -5.1905836e-008
                   0.077                 -6.8124398e-008
                  0.0805                 -8.8464388e-008
                   0.084                 -1.1390713e-007
                  0.0875                 -1.4563239e-007
                   0.091                 -1.8496059e-007
                  0.0945                 -2.3331205e-007
                   0.098                 -2.9213154e-007
                  0.1015                 -3.6286603e-007
                   0.105                 -4.4697027e-007
                  0.1085                 -5.4599286e-007
                   0.112                 -6.6170389e-007
                  0.1155                 -7.9627172e-007
                   0.119                  -9.524431e-007
                  0.1225                 -1.1336812e-006
                   0.126                  -1.344111e-006
                  0.1295                 -1.5885223e-006
                   0.133                 -1.8720815e-006
                  0.1365                 -2.2000741e-006
                    0.14                 -2.5777178e-006
                  0.1435                 -3.0099598e-006
                   0.147                  -3.501562e-006
                  0.1505                 -4.0574731e-006
                   0.154                 -4.6831683e-006
                  0.1575                 -5.3853339e-006
                   0.161                 -6.1726134e-006
                  0.1645                 -7.0556078e-006
                   0.168                 -8.0472018e-006
                  0.1715                 -9.1622939e-006
                   0.175                 -1.0416812e-005
                  0.1785                 -1.1827347e-005
                   0.182                 -1.3409926e-005
                  0.1855                 -1.5180078e-005
                   0.189                 -1.7152268e-005
                  0.1925                 -1.9341689e-005
                   0.196                 -2.1764426e-005
                  0.1995                 -2.4440348e-005
                   0.203                 -2.7393511e-005
                  0.2065                  -3.065428e-005
                    0.21                 -3.4259578e-005
                  0.2135                 -3.8251736e-005
                   0.217                 -4.2677458e-005
                  0.2205                 -4.7585996e-005
                   0.224                  -5.302692e-005
                  0.2275                 -5.9048747e-005
                   0.231                 -6.5699274e-005
                  0.2345                 -7.3027075e-005
                   0.238                 -8.1084681e-005
                  0.2415                 -8.9932523e-005
                   0.245                 -9.9644466e-005
                  0.2485                  -0.00011030838
                   0.252                  -0.00012203056
                  0.2555                  -0.00013493496
                   0.259                  -0.00014916067
                  0.2625                  -0.00016485636
                   0.266                  -0.00018217823
                  0.2695                  -0.00020128633
                   0.273                  -0.00022234277
                  0.2765                   -0.0002455174
                    0.28                  -0.00027099148
                  0.2835                  -0.00029897082
                   0.287                  -0.00032969058
                  0.2905                  -0.00036343128
                   0.294                  -0.00040051876
                  0.2975                  -0.00044133069
                   0.301                  -0.00048629216
                  0.3045                  -0.00053586799
                   0.308                  -0.00059055719
                  0.3115                  -0.00065088503
                   0.315                  -0.00071739815
                  0.3185                  -0.00079067202
                   0.322                  -0.00087132002
                  0.3255                  -0.00096001218
                   0.329                   -0.0010574911
                  0.3325                   -0.0011645998
                   0.336                   -0.0012822865
                  0.3395                    -0.001411612
                   0.343                   -0.0015537428
                  0.3465                   -0.0017099324
                    0.35                   -0.0018814823
                  0.3535                   -0.0020697246
                   0.357                   -0.0022759827
                  0.3605                   -0.0025015593
                   0.364                   -0.0027477136
                  0.3675                   -0.0030156836
                   0.371                   -0.0033066577
                  0.3745                   -0.0036218054
                   0.378                   -0.0039622422
                  0.3815                   -0.0043290158
                   0.385                   -0.0047230045
                  0.3885                   -0.0051449038
                   0.392                   -0.0055950509
                  0.3955                   -0.0060734061
                   0.399                   -0.0065794309
                  0.4025                   -0.0071120777
                   0.406                   -0.0076697887
                  0.4095                   -0.0082505869
                   0.413                   -0.0088521696
                  0.4165                   -0.0094720476
                    0.42                    -0.010107733
                  0.4235                    -0.010756841
                   0.427                    -0.011417191
                  0.4305                    -0.012086894
                   0.434                    -0.012764335
                  0.4375                    -0.013448224
                   0.441                     -0.01413757
                  0.4445                    -0.014831743
                   0.448                    -0.015530489
                  0.4515                    -0.016234106
                   0.455                    -0.016943457
                  0.4585                    -0.017660178
                   0.462                    -0.018386635
                  0.4655                    -0.019126012
                   0.469                    -0.019882224
                  0.4725                     -0.02065974
                   0.476                    -0.021463526
                  0.4795                    -0.022298748
                   0.483                    -0.023170674
                  0.4865                    -0.024084608
                    0.49                    -0.025045841
                  0.4935                    -0.026059809
                   0.497                    -0.027132172
                  0.5005                     -0.02826912
                   0.504                    -0.029477529
                  0.5075                    -0.030765153
                   0.511                    -0.032140688
                  0.5145                    -0.033613724
                   0.518                    -0.035194594
                  0.5215                    -0.036894214
                   0.525                    -0.038723858
                  0.5285                    -0.040695014
                   0.532                    -0.042819322
                  0.5355                    -0.045108887
                   0.539                    -0.047576397
                  0.5425                    -0.050235673
                   0.546                    -0.053101998
                  0.5495                     -0.05619268
                   0.553                    -0.059526994
                  0.5565                    -0.063126415
                    0.56                    -0.067014173
                  0.5635                    -0.071214998
                   0.567                    -0.075754199
                  0.5705                     -0.08065777
                   0.574                    -0.085951715
                  0.5775                     -0.09166219
                   0.581                    -0.097815965
                  0.5845                     -0.10444029
                   0.588                     -0.11156398
                  0.5915                     -0.11921798
                   0.595                      -0.1274352
                  0.5985                     -0.13624944
                   0.602                     -0.14569576
                  0.6055                     -0.15580832
                   0.609                     -0.16661869
                  0.6125                     -0.17815385
                   0.616                     -0.19043545
                  0.6195                     -0.20347815
                   0.623                     -0.21729105
                  0.6265                     -0.23187623
                    0.63                     -0.24723145
                  0.6335                     -0.26335114
                   0.637                     -0.28022673
                  0.6405                     -0.29784386
                   0.644                     -0.31618542
                  0.6475                     -0.33522421
                   0.651                     -0.35492665
                  0.6545                     -0.37524663
                   0.658                     -0.39612893
                  0.6615                     -0.41751131
                   0.665                     -0.43932744
                  0.6685                     -0.46151269
                   0.672                     -0.48400697
                  0.6755                     -0.50676002
                   0.679                     -0.52973325
                  0.6825                     -0.55289993
                   0.686                      -0.5762453
                  0.6895                     -0.59976491
                   0.693                      -0.6234601
                  0.6965                     -0.64733901
                     0.7                     -0.67141423
                  0.7035                     -0.69570415
                   0.707                     -0.72023883
                  0.7105                     -0.74506057
                   0.714                     -0.77023009
                  0.7175                     -0.79582945
                   0.721                     -0.82195965
                  0.7245                     -0.84873866
                   0.728                     -0.87629877
                  0.7315                     -0.90477495
                   0.735                     -0.93430333
                  0.7385                     -0.96502099
                   0.742                     -0.99705957
                  0.7455                      -1.0305536
                   0.749                       -1.065645
                  0.7525                      -1.1024852
                   0.756                      -1.1412407
                  0.7595                      -1.1820976
                   0.763                      -1.2252653
                  0.7665                      -1.2709675
                    0.77                      -1.3194469
                  0.7735                      -1.3709606
                   0.777                      -1.4257682
                  0.7805                      -1.4841279
                   0.784                      -1.5462917
                  0.7875                      -1.6125103
                   0.791                      -1.6830313
                  0.7945                      -1.7581115
                   0.798                      -1.8380328
                  0.8015                      -1.9231167
                   0.805                      -2.0137348
                  0.8085                       -2.110293
                   0.812                      -2.2132372
                  0.8155                      -2.3230133
                   0.819                      -2.4400635
                  0.8225                      -2.5648001
                   0.826                      -2.6975923
                  0.8295                      -2.8387945
