        Frequency / GHz                c4=1.2/real
----------------------------------------------------------------------
                     0.5                      0.86302907
              0.63157895                      0.92519574
              0.76315789                      0.27437522
              0.89473684                     0.092472046
               1.0263158                      0.37885406
               1.1578947                      0.40021115
               1.2894737                      0.16475288
               1.4210526                     0.030559593
               1.5526316                    0.0015533992
               1.6842105                    0.0085980837
               1.8157895                    0.0033127508
               1.9473684                      0.04945712
               2.0789474                     0.012898541
               2.2105263                   0.00021891722
               2.3421053                     0.029132872
               2.4736842                    0.0094204884
               2.6052632                    0.0051055308
               2.7368421                   0.00010304228
               2.8684211                    0.0099911883
                       3                     0.048185892

        Frequency / GHz                c4=1.5/real
----------------------------------------------------------------------
                     0.5                      0.86312478
              0.63157895                      0.92493465
              0.76315789                      0.26560638
              0.89473684                     0.077980204
               1.0263158                      0.39648378
               1.1578947                      0.39422002
               1.2894737                      0.15636712
               1.4210526                     0.026466353
               1.5526316                   0.00088694081
               1.6842105                     0.010498682
               1.8157895                    0.0031810067
               1.9473684                     0.048280761
               2.0789474                    0.0092045762
               2.2105263                    0.0015889909
               2.3421053                      0.03126215
               2.4736842                      0.01316455
               2.6052632                    0.0052815496
               2.7368421                   0.00012138162
               2.8684211                     0.012069083
                       3                     0.052633239

        Frequency / GHz                c4=1.8/real
----------------------------------------------------------------------
                     0.5                      0.86322288
              0.63157895                      0.92465575
              0.76315789                      0.25593135
              0.89473684                     0.065316307
               1.0263158                      0.41201174
               1.1578947                      0.38761485
               1.2894737                      0.14782528
               1.4210526                     0.022459291
               1.5526316                   0.00057448915
               1.6842105                     0.012815789
               1.8157895                    0.0031010108
               1.9473684                     0.046612287
               2.0789474                    0.0058459972
               2.2105263                    0.0041517904
               2.3421053                     0.033432891
               2.4736842                     0.016033798
               2.6052632                     0.004969612
               2.7368421                   0.00071571222
               2.8684211                     0.014355056
                       3                     0.056291757

        Frequency / GHz                c4=2.1/real
----------------------------------------------------------------------
                     0.5                      0.86332344
              0.63157895                      0.92435725
              0.76315789                      0.24523031
              0.89473684                      0.05552951
               1.0263158                      0.42548736
               1.1578947                      0.38046379
               1.2894737                      0.13917381
               1.4210526                      0.01859304
               1.5526316                   0.00069388066
               1.6842105                     0.015514217
               1.8157895                    0.0030637914
               1.9473684                     0.044318326
               2.0789474                    0.0035167627
               2.2105263                     0.007391635
               2.3421053                     0.035575116
               2.4736842                     0.017186965
               2.6052632                    0.0044693351
               2.7368421                    0.0014416809
               2.8684211                     0.016355224
                       3                     0.059134389

        Frequency / GHz                c4=2.4/real
----------------------------------------------------------------------
                     0.5                      0.86342654
              0.63157895                      0.92403716
              0.76315789                      0.23337214
              0.89473684                     0.049305366
               1.0263158                      0.43700873
               1.1578947                      0.37283717
               1.2894737                      0.13046235
               1.4210526                     0.014927409
               1.5526316                    0.0013204334
               1.6842105                     0.018512736
               1.8157895                    0.0030606617
               1.9473684                      0.04127518
               2.0789474                     0.002873688
               2.2105263                      0.01062124
               2.3421053                       0.0376225
               2.4736842                     0.016853747
               2.6052632                    0.0039761784
               2.7368421                    0.0021143546
               2.8684211                      0.01798807
                       3                     0.061324981

        Frequency / GHz                c4=2.7/real
----------------------------------------------------------------------
                     0.5                       0.8635323
              0.63157895                      0.92369318
              0.76315789                      0.22021988
              0.89473684                     0.046812953
               1.0263158                      0.44670761
               1.1578947                       0.3648059
               1.2894737                      0.12174288
               1.4210526                     0.011525993
               1.5526316                    0.0025192429
               1.6842105                     0.021686796
               1.8157895                    0.0030838194
               1.9473684                     0.037419263
               2.0789474                    0.0041593224
               2.2105263                     0.013365155
               2.3421053                     0.039518897
               2.4736842                     0.015754037
               2.6052632                    0.0035578576
               2.7368421                     0.002685891
               2.8684211                     0.019298039
                       3                      0.06302889

        Frequency / GHz                c4=3/real
----------------------------------------------------------------------
                     0.5                      0.86364081
              0.63157895                      0.92332272
              0.76315789                      0.20564345
              0.89473684                      0.04772624
               1.0263158                      0.45473612
               1.1578947                      0.35644012
               1.2894737                      0.11306876
               1.4210526                    0.0084542667
               1.5526316                      0.00433612
               1.6842105                     0.024882894
               1.8157895                    0.0031266133
               1.9473684                     0.032824577
               2.0789474                     0.007027083
               2.2105263                      0.01546667
               2.3421053                     0.041222745
               2.4736842                     0.014442545
               2.6052632                    0.0032209184
               2.7368421                    0.0031583086
               2.8684211                     0.020351223
                       3                     0.064374491

        Frequency / GHz                c4=3.3/real
----------------------------------------------------------------------
                     0.5                      0.86375217
              0.63157895                      0.92292281
              0.76315789                      0.18954616
              0.89473684                     0.051386136
               1.0263158                      0.46125601
               1.1578947                      0.34780794
               1.2894737                      0.10449361
               1.4210526                    0.0057771616
               1.5526316                    0.0067884912
               1.6842105                     0.027942013
               1.8157895                    0.0031835813
               1.9473684                     0.027779766
               2.0789474                     0.010765467
               2.2105263                     0.016976156
               2.3421053                     0.042708797
               2.4736842                     0.013189778
               2.6052632                    0.0029530512
               2.7368421                    0.0035469919
               2.8684211                     0.021206085
                       3                     0.065454696

        Frequency / GHz                c4=3.6/real
----------------------------------------------------------------------
                     0.5                      0.86386653
              0.63157895                      0.92249003
              0.76315789                      0.17191721
              0.89473684                     0.057007198
               1.0263158                      0.46643024
               1.1578947                      0.33897444
               1.2894737                     0.096070297
               1.4210526                    0.0035562567
               1.5526316                    0.0098581449
               1.6842105                      0.03072513
               1.8157895                    0.0032503639
               1.9473684                     0.022798049
               2.0789474                     0.014682439
               2.2105263                     0.018018585
               2.3421053                     0.043967383
               2.4736842                     0.012088606
               2.6052632                    0.0027394317
               2.7368421                    0.0038683138
               2.8684211                     0.021908357
                       3                     0.066335677

        Frequency / GHz                c4=3.9/real
----------------------------------------------------------------------
                     0.5                      0.86398397
              0.63157895                      0.92202046
              0.76315789                      0.15293177
              0.89473684                     0.063844264
               1.0263158                      0.47041694
               1.1578947                      0.33000083
               1.2894737                     0.087849779
               1.4210526                    0.0018467443
               1.5526316                     0.013487859
               1.6842105                     0.033132576
               1.8157895                    0.0033235598
               1.9473684                     0.018495728
               2.0789474                     0.018326521
               2.2105263                     0.018719734
               2.3421053                     0.045001904
               2.4736842                     0.011151842
               2.6052632                    0.0025674083
               2.7368421                    0.0041362228
               2.8684211                     0.022492455
                       3                     0.067064743

        Frequency / GHz                c4=4.2/real
----------------------------------------------------------------------
                     0.5                      0.86410465
              0.63157895                      0.92150953
              0.76315789                      0.13313607
              0.89473684                     0.071285021
               1.0263158                      0.47336542
               1.1578947                      0.32094387
               1.2894737                     0.079880135
               1.4210526                    0.0006944117
               1.5526316                     0.017583436
               1.6842105                     0.035112189
               1.8157895                    0.0034005625
               1.9473684                     0.015370024
               2.0789474                     0.021494969
               2.2105263                     0.019180764
               2.3421053                     0.045825457
               2.4736842                      0.01036339
               2.6052632                    0.0024271989
               2.7368421                    0.0043617888
               2.8684211                     0.022984053
                       3                      0.06767612

        Frequency / GHz                c4=4.5/real
----------------------------------------------------------------------
                     0.5                      0.86422869
              0.63157895                      0.92095193
              0.76315789                      0.11377598
              0.89473684                      0.07887717
               1.0263158                      0.47541366
               1.1578947                      0.31185546
               1.2894737                     0.072205631
               1.4210526                   0.00013292046
               1.5526316                     0.022021399
               1.6842105                     0.036656209
               1.8157895                    0.0034794114
               1.9473684                     0.013621359
               2.0789474                     0.024148896
               2.2105263                     0.019475774
               2.3421053                     0.046457401
               2.4736842                    0.0097000172
               2.6052632                    0.0023114833
               2.7368421                    0.0045535843
               2.8684211                     0.023402371
                       3                     0.068194902

        Frequency / GHz                c4=4.8/real
----------------------------------------------------------------------
                     0.5                      0.86435621
              0.63157895                      0.92034147
              0.76315789                     0.097337248
              0.89473684                     0.086315556
               1.0263158                      0.47668709
               1.1578947                      0.30278239
               1.2894737                     0.064865914
               1.4210526                   0.00018165729
               1.5526316                     0.026661161
               1.6842105                     0.037790841
               1.8157895                    0.0035586507
               1.9473684                     0.013140501
               2.0789474                     0.026330306
               2.2105263                     0.019656791
               2.3421053                     0.046920328
               2.4736842                    0.0091393723
               2.6052632                    0.0022148256
               2.7368421                    0.0047182108
               2.8684211                     0.023761922
                       3                     0.068639824

        Frequency / GHz                c4=5.1/real
----------------------------------------------------------------------
                     0.5                       0.8644874
              0.63157895                      0.91967085
              0.76315789                     0.088302135
              0.89473684                     0.093412485
               1.0263158                       0.4772982
               1.1578947                      0.29376628
               1.2894737                     0.057895426
               1.4210526                   0.00084440712
               1.5526316                     0.031359189
               1.6842105                     0.038563342
               1.8157895                    0.0036372256
               1.9473684                     0.013632426
               2.0789474                      0.02810965
               2.2105263                     0.019759689
               2.3421053                     0.047237732
               2.4736842                    0.0086623814
               2.6052632                    0.0021331732
               2.7368421                    0.0048607668
               2.8684211                     0.024073792
                       3                     0.069025037

        Frequency / GHz                c4=5.4/real
----------------------------------------------------------------------
                     0.5                      0.86462239
              0.63157895                      0.91893144
              0.76315789                     0.093812486
              0.89473684                      0.10006583
               1.0263158                      0.47734688
               1.1578947                      0.28484367
               1.2894737                     0.051322925
               1.4210526                    0.0021090022
               1.5526316                     0.035982349
               1.6842105                     0.039030404
               1.8157895                    0.0037143823
               1.9473684                     0.014761873
               2.0789474                     0.029559666
               2.2105263                     0.019809072
               2.3421053                     0.047432369
               2.4736842                    0.0082535088
               2.6052632                      0.00206348
               2.7368421                    0.0049852179
               2.8684211                     0.024346542
                       3                     0.069361399

        Frequency / GHz                c4=5.7/real
----------------------------------------------------------------------
                     0.5                      0.86476137
              0.63157895                      0.91811296
              0.76315789                      0.12311732
              0.89473684                      0.10623168
               1.0263158                      0.47692101
               1.1578947                       0.2760461
               1.2894737                      0.04517126
               1.4210526                    0.0039479933
               1.5526316                     0.040418077
               1.6842105                     0.039249597
               1.8157895                    0.0037895988
               1.9473684                     0.016244017
               2.0789474                     0.030744842
               2.2105263                     0.019821834
               2.3421053                     0.047525253
               2.4736842                    0.0079003391
               2.6052632                    0.0020034309
               2.7368421                    0.0050946747
               2.8684211                     0.024586867
                       3                     0.069657373

        Frequency / GHz                c4=6/real
----------------------------------------------------------------------
                     0.5                       0.8649045
              0.63157895                      0.91720313
              0.76315789                       0.1837715
              0.89473684                       0.1119034
               1.0263158                      0.47609739
               1.1578947                      0.26740043
               1.2894737                     0.039457304
               1.4210526                    0.0063202808
               1.5526316                     0.044580187
               1.6842105                     0.039274091
               1.8157895                    0.0038625287
               1.9473684                     0.017873964
               2.0789474                     0.031718597
               2.2105263                     0.019809628
               2.3421053                     0.047535127
               2.4736842                    0.0075930083
               2.6052632                    0.0019512456
               2.7368421                    0.0051916009
               2.8684211                     0.024800063
                       3                     0.069919617

        Frequency / GHz                c4=6.3/real
----------------------------------------------------------------------
                     0.5                      0.86505199
              0.63157895                      0.91618712
              0.76315789                      0.27423297
              0.89473684                      0.11709682
               1.0263158                      0.47494271
               1.1578947                      0.25892911
               1.2894737                     0.034192046
               1.4210526                    0.0091735057
               1.5526316                     0.048410354
               1.6842105                     0.039150054
               1.8157895                    0.0039329564
               1.9473684                     0.019520492
               2.0789474                     0.032523755
               2.2105263                     0.019780531
               2.3421053                     0.047478286
               2.4736842                    0.0073236742
               2.6052632                    0.0019055399
               2.7368421                    0.0052779657
               2.8684211                     0.024990358
                       3                     0.070153434

        Frequency / GHz                c4=6.6/real
----------------------------------------------------------------------
                     0.5                      0.86520399
              0.63157895                      0.91504691
              0.76315789                      0.37925507
              0.89473684                      0.12184021
               1.0263158                      0.47351467
               1.1578947                       0.2506505
               1.2894737                     0.029380859
               1.4210526                      0.01244696
               1.5526316                     0.051876148
               1.6842105                     0.038915908
               1.8157895                    0.0040007622
               1.9473684                       0.0211076
               2.0789474                     0.033194103
               2.2105263                     0.019740174
               2.3421053                     0.047368624
               2.4736842                    0.0070860717
               2.6052632                    0.0018652246
               2.7368421                    0.0053553588
               2.8684211                     0.025161166
                       3                     0.070363096

        Frequency / GHz                c4=6.9/real
----------------------------------------------------------------------
                     0.5                      0.86536077
              0.63157895                       0.9137604
              0.76315789                      0.47683304
              0.89473684                      0.12616775
               1.0263158                      0.47186287
               1.1578947                      0.24257925
               1.2894737                     0.025023876
               1.4210526                     0.016074721
               1.5526316                      0.05496696
               1.6842105                     0.038602639
               1.8157895                     0.004065898
               1.9473684                     0.022596195
