        Frequency / GHz                c2=6/real
----------------------------------------------------------------------
                     0.5                      0.87693451
              0.63157895                      0.59820562
              0.76315789                       0.6437658
              0.89473684                      0.56970499
               1.0263158                      0.24375414
               1.1578947                     0.023376946
               1.2894737                     0.028604239
               1.4210526                      0.03817414
               1.5526316                     0.034715758
               1.6842105                      0.05992014
               1.8157895                     0.004186854
               1.9473684                     0.022485619
               2.0789474                     0.061439363
               2.2105263                      0.07426221
               2.3421053                     0.072580321
               2.4736842                     0.020110835
               2.6052632                     0.004061491
               2.7368421                    0.0049191471
               2.8684211                     0.042241728
                       3                      0.10845263

        Frequency / GHz                c2=0.6/real
----------------------------------------------------------------------
                     0.5                      0.86904606
              0.63157895                      0.71663998
              0.76315789                      0.56042454
              0.89473684                      0.16342295
               1.0263158                      0.43414728
               1.1578947                      0.13997861
               1.2894737                    0.0060226022
               1.4210526                     0.082652908
               1.5526316                     0.071445539
               1.6842105                       0.0320907
               1.8157895                    0.0048315108
               1.9473684                     0.034933188
               2.0789474                     0.037029956
               2.2105263                     0.018862525
               2.3421053                     0.043337676
               2.4736842                    0.0051743038
               2.6052632                    0.0015398361
               2.7368421                    0.0060313265
               2.8684211                     0.026666411
                       3                     0.072200644

        Frequency / GHz                c2=0.9/real
----------------------------------------------------------------------
                     0.5                      0.86935908
              0.63157895                      0.71474355
              0.76315789                      0.53593045
              0.89473684                       0.2128228
               1.0263158                      0.43133212
               1.1578947                      0.12724081
               1.2894737                    0.0063627069
               1.4210526                     0.080438317
               1.5526316                     0.067558054
               1.6842105                     0.031455078
               1.8157895                    0.0049899269
               1.9473684                     0.034935113
               2.0789474                     0.033396922
               2.2105263                     0.016547502
               2.3421053                     0.043113841
               2.4736842                    0.0068495961
               2.6052632                      0.00300862
               2.7368421                    0.0030542503
               2.8684211                     0.023945775
                       3                     0.075970452

        Frequency / GHz                c2=1.2/real
----------------------------------------------------------------------
                     0.5                      0.86968277
              0.63157895                      0.71267008
              0.76315789                      0.50724926
              0.89473684                      0.27255999
               1.0263158                      0.42395697
               1.1578947                      0.11530612
               1.2894737                    0.0069591283
               1.4210526                     0.078051259
               1.5526316                     0.063743747
               1.6842105                     0.031101823
               1.8157895                    0.0050999371
               1.9473684                     0.034900845
