        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                      0.75939227
                    0.78                      0.45443956
                    0.87                       0.5535557
                    0.96                      0.25075276
                     1.7                     0.090384918
                     1.8                     0.076512379
                     1.9                     0.033715528
                       2                     0.096787277
                     2.1                      0.06769683
                     2.2                     0.038493539
                     2.3                    0.0062005233
                     2.4                     0.030012176
                     2.5                     0.011404676
                     2.6                    0.0044172436
                     2.7                    0.0036907291

        Frequency / GHz                run 74/real
----------------------------------------------------------------------
                    0.69                      0.75692232
                    0.78                       0.4538936
                    0.87                      0.56298927
                    0.96                      0.24503606
                     1.7                     0.094638615
                     1.8                     0.077437172
                     1.9                     0.033303998
                       2                     0.093750152
                     2.1                     0.065876515
                     2.2                     0.041691273
                     2.3                    0.0083477549
                     2.4                     0.031822949
                     2.5                      0.01495319
                     2.6                    0.0065809864
                     2.7                    0.0052080229

        Frequency / GHz                run 75/real
----------------------------------------------------------------------
                    0.69                      0.75423811
                    0.78                      0.45508666
                    0.87                      0.56859629
                    0.96                      0.23882592
                     1.7                     0.099874191
                     1.8                      0.07789205
                     1.9                     0.032861026
                       2                     0.090763221
                     2.1                     0.066040554
                     2.2                     0.047454745
                     2.3                     0.010537129
                     2.4                     0.034841713
                     2.5                     0.018674182
                     2.6                    0.0083932691
                     2.7                     0.006643532

        Frequency / GHz                run 76/real
----------------------------------------------------------------------
                    0.69                      0.75131229
                    0.78                      0.45872101
                    0.87                      0.57041035
                    0.96                      0.23221633
                     1.7                      0.10588501
                     1.8                     0.077969528
                     1.9                     0.032388445
                       2                      0.08821303
                     2.1                     0.068928968
                     2.2                     0.054604917
                     2.3                     0.012454147
                     2.4                     0.038974691
                     2.5                     0.021391757
                     2.6                    0.0095714771
                     2.7                    0.0077504439

        Frequency / GHz                run 77/real
----------------------------------------------------------------------
                    0.69                      0.74811286
                    0.78                      0.46567591
                    0.87                      0.56868476
                    0.96                       0.2252998
                     1.7                      0.11228093
                     1.8                     0.077771774
                     1.9                     0.031890823
                       2                     0.086644968
                     2.1                     0.074520265
                     2.2                     0.061508175
                     2.3                     0.013988906
                     2.4                     0.043592482
                     2.5                     0.022870312
                     2.6                     0.010240118
                     2.7                    0.0085474581

        Frequency / GHz                run 78/real
----------------------------------------------------------------------
                    0.69                       0.7446025
                    0.78                      0.47697835
                    0.87                      0.56384041
                    0.96                      0.21816463
                     1.7                      0.11855173
                     1.8                     0.077390259
                     1.9                     0.031376691
                       2                     0.086635362
                     2.1                     0.081809781
                     2.2                     0.067086618
                     2.3                     0.015158509
                     2.4                     0.047753272
                     2.5                     0.023460263
                     2.6                      0.01058868
                     2.7                     0.009114474

        Frequency / GHz                run 79/real
----------------------------------------------------------------------
                    0.69                      0.74073734
                    0.78                      0.49369484
                    0.87                      0.55640078
                    0.96                      0.21089295
                     1.7                      0.12419216
                     1.8                     0.076897393
                     1.9                     0.030859976
                       2                     0.088528541
                     2.1                     0.089346988
                     2.2                     0.071083072
                     2.3                     0.016028286
                     2.4                     0.050765369
                     2.5                     0.023550552
                     2.6                     0.010753747
                     2.7                    0.0095221883

        Frequency / GHz                run 80/real
----------------------------------------------------------------------
                    0.69                      0.73646575
                    0.78                       0.5166992
                    0.87                      0.54692753
                    0.96                      0.20355932
                     1.7                      0.12883027
                     1.8                     0.076346084
                     1.9                     0.030361407
                       2                     0.092189274
                     2.1                     0.096011793
                     2.2                     0.073725342
                     2.3                     0.016668655
                     2.4                     0.052491555
                     2.5                     0.023396214
                     2.6                     0.010817001
                     2.7                    0.0098209272

        Frequency / GHz                run 81/real
----------------------------------------------------------------------
                    0.69                      0.73172672
                    0.78                      0.54630401
                    0.87                       0.5359679
                    0.96                      0.19622976
                     1.7                      0.13229592
                     1.8                     0.075772673
                     1.9                     0.029909606
                       2                     0.097009745
                     2.1                      0.10132574
                     2.2                     0.075371077
                     2.3                     0.017139139
                     2.4                     0.053185263
                     2.5                     0.023136747
                     2.6                     0.010824529
                     2.7                     0.010044426

        Frequency / GHz                run 82/real
----------------------------------------------------------------------
                    0.69                      0.72644821
                    0.78                      0.58183015
                    0.87                      0.52401782
                    0.96                      0.18896152
                     1.7                      0.13460912
                     1.8                     0.075200881
                     1.9                     0.029540873
                       2                       0.1022007
                     2.1                      0.10529504
                     2.2                     0.076336938
                     2.3                     0.017485413
                     2.4                     0.053199909
                     2.5                     0.022842577
                     2.6                     0.010802027
                     2.7                     0.010215075

        Frequency / GHz                run 83/real
----------------------------------------------------------------------
                    0.69                      0.72054511
                    0.78                      0.62132712
                    0.87                       0.5115018
                    0.96                      0.18180286
                     1.7                      0.13591729
                     1.8                     0.074645385
                     1.9                      0.02929691
                       2                      0.10711686
                     2.1                      0.10814426
                     2.2                     0.076856532
                     2.3                     0.017741086
                     2.4                     0.052827167
                     2.5                     0.022547523
                     2.6                     0.010763878
                     2.7                     0.010347856

        Frequency / GHz                run 84/real
----------------------------------------------------------------------
                    0.69                      0.71391719
                    0.78                      0.66172279
                    0.87                      0.49876557
                    0.96                      0.17479377
                     1.7                      0.13642356
                     1.8                     0.074114676
                     1.9                     0.029219521
                       2                      0.11139813
                     2.1                      0.11013937
                     2.2                     0.077089156
                     2.3                     0.017930448
                     2.4                     0.052262083
                     2.5                     0.022266805
                     2.6                     0.010718205
                     2.7                     0.010452948

        Frequency / GHz                run 85/real
----------------------------------------------------------------------
                    0.69                      0.70644735
                    0.78                      0.69950899
                    0.87                      0.48607844
                    0.96                      0.16796617
                     1.7                      0.13633357
                     1.8                     0.073613108
                     1.9                     0.029342599
                       2                      0.11493342
                     2.1                      0.11151188
                     2.2                     0.077139712
                     2.3                     0.018070971
                     2.4                     0.051621227
                     2.5                     0.022006451
                     2.6                     0.010669607
                     2.7                     0.010537426

        Frequency / GHz                run 86/real
----------------------------------------------------------------------
                    0.69                      0.69800098
                    0.78                      0.73169778
                    0.87                      0.47364118
                    0.96                      0.16134486
                     1.7                      0.13582648
                     1.8                     0.073142381
                     1.9                     0.029682995
                       2                      0.11776069
                     2.1                      0.11244047
                     2.2                     0.077076287
                     2.3                     0.018175261
                     2.4                     0.050969246
                     2.5                     0.021767991
                     2.6                     0.010620692
