        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                      0.75939227
                    0.78                      0.45443956
                    0.87                       0.5535557
                    0.96                      0.25075276
                     1.7                     0.090384918
                     1.8                     0.076512379
                     1.9                     0.033715528
                       2                     0.096787277
                     2.1                      0.06769683
                     2.2                     0.038493539
                     2.3                    0.0062005233
                     2.4                     0.030012176
                     2.5                     0.011404676
                     2.6                    0.0044172436
                     2.7                    0.0036907291

        Frequency / GHz                run 2/real
----------------------------------------------------------------------
                    0.69                      0.75641925
                    0.78                      0.44302818
                    0.87                      0.50845614
                    0.96                      0.25088929
                     1.7                     0.085923524
                     1.8                     0.073703829
                     1.9                     0.033557661
                       2                     0.094420286
                     2.1                     0.063153183
                     2.2                     0.035265174
                     2.3                    0.0093516914
                     2.4                     0.033076809
                     2.5                     0.015438036
                     2.6                     0.006716197
                     2.7                    0.0022701315

        Frequency / GHz                run 3/real
----------------------------------------------------------------------
                    0.69                      0.75298106
                    0.78                      0.42923377
                    0.87                      0.45147239
                    0.96                      0.27290534
                     1.7                      0.08127256
                     1.8                      0.07120915
                     1.9                     0.033406498
                       2                     0.091754933
                     2.1                     0.058368038
                     2.2                     0.032972931
                     2.3                      0.01556025
                     2.4                     0.038533602
                     2.5                     0.020520505
                     2.6                    0.0084100022
                     2.7                    0.0010980242

        Frequency / GHz                run 4/real
----------------------------------------------------------------------
                    0.69                      0.74898361
                    0.78                      0.41241729
                    0.87                      0.38244705
                    0.96                      0.31274696
                     1.7                     0.076537349
                     1.8                     0.069115809
                     1.9                     0.033261788
                       2                     0.088764041
                     2.1                        0.053556
                     2.2                     0.032627957
                     2.3                     0.024502078
                     2.4                     0.045713929
                     2.5                     0.024785511
                     2.6                    0.0090795137
                     2.7                   0.00040890389

        Frequency / GHz                run 5/real
----------------------------------------------------------------------
                    0.69                       0.7443091
                    0.78                       0.3917548
                    0.87                       0.3047682
                    0.96                      0.36289566
                     1.7                     0.071834719
                     1.8                     0.067474366
                     1.9                     0.033123259
                       2                     0.085425747
                     2.1                     0.049096053
                     2.2                     0.035465605
                     2.3                     0.034697882
                     2.4                     0.052348127
                     2.5                     0.027110389
                     2.6                    0.0090064689
                     2.7                  9.8087764e-005

        Frequency / GHz                run 6/real
----------------------------------------------------------------------
                    0.69                      0.73880897
                    0.78                      0.36620383
                    0.87                      0.22735578
                    0.96                      0.41574366
                     1.7                     0.067283982
                     1.8                     0.066296641
                     1.9                     0.032990634
                       2                     0.081728422
                     2.1                     0.045575548
                     2.2                     0.042374054
                     2.3                     0.044218761
                     2.4                     0.056452609
                     2.5                     0.027778253
                     2.6                    0.0085987316
                     2.7                  3.9229554e-006

        Frequency / GHz                run 7/real
----------------------------------------------------------------------
                    0.69                      0.73229404
                    0.78                      0.33450194
                    0.87                      0.16411708
                    0.96                      0.46584593
                     1.7                     0.062996942
                     1.8                     0.065560764
                     1.9                     0.032863672
                       2                     0.077677567
                     2.1                     0.043779764
                     2.2                     0.053026925
                     2.3                     0.051742372
                     2.4                     0.057915328
                     2.5                     0.027523546
                     2.6                    0.0081026383
                     2.7                  1.7031926e-005

        Frequency / GHz                run 8/real
----------------------------------------------------------------------
                    0.69                      0.72452147
                    0.78                      0.29526302
                    0.87                      0.12851732
                    0.96                      0.51034654
                     1.7                     0.059069078
                     1.8                     0.065220633
                     1.9                     0.032742103
                       2                     0.073304417
                     2.1                     0.044558929
                     2.2                     0.065585212
                     2.3                     0.056934141
                     2.4                     0.057699277
                     2.5                     0.026882621
                     2.6                    0.0076240935
                     2.7                  7.8191851e-005

        Frequency / GHz                run 9/real
----------------------------------------------------------------------
                    0.69                       0.7151771
                    0.78                      0.24731576
                    0.87                        0.125997
                    0.96                      0.54834499
                     1.7                     0.055572776
                     1.8                     0.065216415
                     1.9                     0.032625687
                       2                     0.068675894
                     2.1                     0.048535729
                     2.2                      0.07763203
                     2.3                     0.060118734
                     2.4                     0.056704107
                     2.5                     0.026134326
                     2.6                    0.0071978727
                     2.7                   0.00015787196

        Frequency / GHz                run 10/real
----------------------------------------------------------------------
                    0.69                      0.70385061
                    0.78                      0.19054176
                    0.87                      0.15147947
                    0.96                      0.58006798
                     1.7                     0.052554025
                     1.8                     0.065483814
                     1.9                      0.03251417
                       2                     0.063903784
                     2.1                     0.055749647
                     2.2                     0.087485949
                     2.3                      0.06182991
                     2.4                     0.055455423
                     2.5                     0.025400884
                     2.6                    0.0068295063
                     2.7                   0.00024191007

        Frequency / GHz                run 11/real
----------------------------------------------------------------------
                    0.69                      0.69000267
                    0.78                      0.12750475
                    0.87                      0.19405906
                    0.96                      0.60624657
                     1.7                     0.050032395
                     1.8                     0.065960951
                     1.9                     0.032407325
                       2                     0.059150443
                     2.1                     0.065488485
                     2.2                      0.09464779
                     2.3                     0.062555079
                     2.4                     0.054200541
                     2.5                     0.024728061
                     2.6                    0.0065141814
                     2.7                   0.00032377391

        Frequency / GHz                run 12/real
----------------------------------------------------------------------
                    0.69                      0.67291969
                    0.78                      0.06567803
                    0.87                      0.24323561
                    0.96                      0.62775084
                     1.7                     0.048003833
                     1.8                     0.066592369
                     1.9                     0.032304928
                       2                      0.05462646
                     2.1                     0.076501437
                     2.2                     0.099413698
                     2.3                     0.062658337
                     2.4                      0.05303823
                     2.5                     0.024127771
                     2.6                    0.0062443685
                     2.7                   0.00040066864

        Frequency / GHz                run 13/real
----------------------------------------------------------------------
                    0.69                      0.65165484
                    0.78                     0.018389758
                    0.87                      0.29195697
                    0.96                      0.64541233
                     1.7                      0.04644515
                     1.8                     0.067331096
                     1.9                     0.032206769
                       2                     0.050576349
                     2.1                     0.087475229
                     2.2                      0.10235599
                     2.3                     0.062386997
                     2.4                     0.051998219
                     2.5                     0.023598108
                     2.6                    0.0060126098
                     2.7                   0.00047162205

        Frequency / GHz                run 14/real
----------------------------------------------------------------------
                    0.69                      0.62495494
                    0.78                   0.00076123154
                    0.87                      0.33661225
                    0.96                      0.65995471
                     1.7                     0.045319456
                     1.8                     0.068138886
                     1.9                     0.032112646
                       2                     0.047250577
                     2.1                     0.097439989
                     2.2                      0.10402337
                     2.3                     0.061901019
                     2.4                     0.051080879
