        Frequency / GHz                S1,2 (1)/abs,dB
----------------------------------------------------------------------
                       0                      -213.56609
                  0.0035                      -213.56609
                   0.007                      -213.56609
                  0.0105                      -213.56609
                   0.014                      -213.56609
                  0.0175                      -213.56609
                   0.021                      -207.19443
                  0.0245                       -200.4736
                   0.028                       -194.6656
                  0.0315                      -189.55394
                   0.035                      -184.98693
                  0.0385                      -180.85423
                   0.042                      -177.07449
                  0.0455                      -173.58799
                   0.049                      -170.35128
                  0.0525                      -167.33254
                   0.056                       -164.5075
                  0.0595                       -161.8562
                   0.063                      -159.36069
                  0.0665                      -157.00398
                    0.07                      -154.76973
                  0.0735                      -152.64285
                   0.077                       -150.6103
                  0.0805                       -148.6619
                   0.084                      -146.79048
                  0.0875                      -144.99137
                   0.091                      -143.26131
                  0.0945                      -141.59725
                   0.098                      -139.99556
                  0.1015                      -138.45169
                   0.105                      -136.96033
                  0.1085                      -135.51594
                   0.112                       -134.1135
                  0.1155                      -132.74915
                   0.119                      -131.42056
                  0.1225                      -130.12677
                   0.126                       -128.8676
                  0.1295                      -127.64278
                   0.133                      -126.45131
                  0.1365                      -125.29122
                    0.14                       -124.1598
                  0.1435                      -123.05405
                   0.147                      -121.97124
                  0.1505                      -120.90936
                   0.154                       -119.8674
                  0.1575                      -118.84526
                   0.161                      -117.84341
                  0.1645                      -116.86229
                   0.168                       -115.9017
                  0.1715                      -114.96061
                   0.175                      -114.03723
                  0.1785                       -113.1295
                   0.182                      -112.23562
                  0.1855                      -111.35441
                   0.189                       -110.4854
                  0.1925                      -109.62878
                   0.196                      -108.78513
                  0.1995                      -107.95499
                   0.203                      -107.13848
                  0.2065                        -106.335
                    0.21                      -105.54328
                  0.2135                      -104.76175
                   0.217                      -103.98901
                  0.2205                      -103.22425
                   0.224                      -102.46733
                  0.2275                       -101.7186
                   0.231                      -100.97863
                  0.2345                      -100.24794
                   0.238                      -99.526651
                  0.2415                      -98.814416
                   0.245                       -98.11033
                  0.2485                      -97.413175
                   0.252                      -96.721808
                  0.2555                      -96.035558
                   0.259                      -95.354394
                  0.2625                      -94.678776
                   0.266                      -94.009328
                  0.2695                      -93.346498
                   0.273                       -92.69038
                  0.2765                      -92.040656
                    0.28                      -91.396651
                  0.2835                      -90.757451
                   0.287                      -90.122165
                  0.2905                      -89.490203
                   0.294                      -88.861508
                  0.2975                      -88.236517
                   0.301                      -87.615878
                  0.3045                      -87.000067
                   0.308                      -86.389166
                  0.3115                      -85.782828
                   0.315                      -85.180437
                  0.3185                      -84.581275
                   0.322                      -83.984689
                  0.3255                      -83.390223
                   0.329                      -82.797788
                  0.3325                      -82.207688
                   0.336                       -81.62049
                  0.3395                      -81.036693
                   0.343                      -80.456448
                  0.3465                      -79.879433
                    0.35                      -79.305029
                  0.3535                      -78.732559
                   0.357                        -78.1615
                  0.3605                       -77.59157
                   0.364                       -77.02273
                  0.3675                      -76.455174
                   0.371                      -75.889294
                  0.3745                      -75.325511
                   0.378                       -74.76404
                  0.3815                      -74.204681
                   0.385                      -73.646877
                  0.3885                      -73.089926
                   0.392                      -72.533316
                  0.3955                      -71.976833
                   0.399                      -71.420546
