        Frequency / GHz                S1,2 (c1=0.6)/abs,dB
----------------------------------------------------------------------
                       0                      -210.56236
                  0.0035                      -210.56236
                   0.007                      -210.56236
                  0.0105                      -210.56236
                   0.014                      -210.56236
                  0.0175                      -210.56236
                   0.021                      -209.86938
                  0.0245                      -203.16608
                   0.028                       -197.3563
                  0.0315                      -192.22892
                   0.035                      -187.63992
                  0.0385                      -183.48654
                   0.042                      -179.69277
                  0.0455                      -176.20067
                   0.049                      -172.96507
                  0.0525                       -169.9501
                   0.056                      -167.12694
                  0.0595                      -164.47215
                   0.063                      -161.96646
                  0.0665                      -159.59382
                    0.07                      -157.34062
                  0.0735                      -155.19517
                   0.077                      -153.14726
                  0.0805                      -151.18792
                   0.084                      -149.30931
                  0.0875                      -147.50457
                   0.091                      -145.76776
                  0.0945                      -144.09372
                   0.098                      -142.47794
                  0.1015                      -140.91638
                   0.105                      -139.40536
                  0.1085                      -137.94146
                   0.112                      -136.52148
                  0.1155                       -135.1425
                   0.119                      -133.80185
                  0.1225                      -132.49716
                   0.126                      -131.22636
                  0.1295                       -129.9876
                   0.133                      -128.77917
                  0.1365                      -127.59948
                    0.14                      -126.44699
                  0.1435                       -125.3202
                   0.147                      -124.21769
                  0.1505                      -123.13817
                   0.154                      -122.08048
                  0.1575                      -121.04362
                   0.161                      -120.02666
                  0.1645                      -119.02875
                   0.168                      -118.04903
                  0.1715                      -117.08664
                   0.175                      -116.14071
                  0.1785                       -115.2104
                   0.182                      -114.29497
                  0.1855                      -113.39377
                   0.189                      -112.50628
                  0.1925                      -111.63202
                   0.196                      -110.77055
                  0.1995                      -109.92138
                   0.203                      -109.08398
                  0.2065                      -108.25778
                    0.21                      -107.44221
                  0.2135                      -106.63676
                   0.217                        -105.841
                  0.2205                       -105.0546
                   0.224                      -104.27728
                  0.2275                       -103.5088
                   0.231                      -102.74888
                  0.2345                      -101.99719
                   0.238                      -101.25338
                  0.2415                      -100.51705
                   0.245                      -99.787862
                  0.2485                      -99.065523
                   0.252                      -98.349803
                  0.2555                      -97.640517
                   0.259                      -96.937491
                  0.2625                      -96.240521
                   0.266                      -95.549377
                  0.2695                      -94.863794
                   0.273                      -94.183528
                  0.2765                      -93.508365
                    0.28                      -92.838162
                  0.2835                      -92.172816
                   0.287                      -91.512265
                  0.2905                      -90.856415
                   0.294                      -90.205141
                  0.2975                      -89.558267
                   0.301                      -88.915592
                  0.3045                      -88.276937
                   0.308                      -87.642188
                  0.3115                      -87.011308
                   0.315                      -86.384348
                  0.3185                      -85.761397
                   0.322                      -85.142545
                  0.3255                      -84.527841
                   0.329                      -83.917295
                  0.3325                      -83.310876
                   0.336                      -82.708579
                  0.3395                      -82.110454
                   0.343                      -81.516645
                  0.3465                      -80.927387
                    0.35                      -80.342991
                  0.3535                      -79.763793
                   0.357                      -79.190137
                  0.3605                      -78.622347
                   0.364                      -78.060761
                  0.3675                       -77.50574
