        Frequency / GHz                run 403/real
----------------------------------------------------------------------
                    0.69                      0.79717479
                    0.78                      0.51875311
                    0.87                      0.28883469
                    0.96                      0.38908666
                     1.7                    0.0014660413
                     1.8                     0.006327742
                     1.9                     0.012508154
                       2                     0.015263096
                     2.1                     0.016263499
                     2.2                     0.014068231
                     2.3                    0.0064678527
                     2.4                   0.00016653745
                     2.5                   0.00011488023
                     2.6                    0.0001680964
                     2.7                   0.00036076728

        Frequency / GHz                run 404/real
----------------------------------------------------------------------
                    0.69                      0.77784265
                    0.78                      0.52318331
                    0.87                      0.31417893
                    0.96                      0.40781963
                     1.7                    0.0013671373
                     1.8                    0.0064063289
                     1.9                     0.011298691
                       2                     0.013360106
                     2.1                     0.014372856
                     2.2                     0.013062448
                     2.3                    0.0066880749
                     2.4                   0.00020062877
                     2.5                   0.00025452782
                     2.6                   0.00042391413
                     2.7                   0.00020123066

        Frequency / GHz                run 405/real
----------------------------------------------------------------------
                    0.69                      0.75467781
                    0.78                      0.53463128
                    0.87                      0.33724541
                    0.96                       0.4250229
                     1.7                    0.0013945174
                     1.8                    0.0064566152
                     1.9                     0.010034122
                       2                     0.011498459
                     2.1                     0.012743066
                     2.2                      0.01259395
                     2.3                    0.0074149321
                     2.4                   0.00025997709
                     2.5                   0.00061367488
                     2.6                    0.0009247598
                     2.7                   0.00010017985

        Frequency / GHz                run 406/real
----------------------------------------------------------------------
                    0.69                       0.7278782
                    0.78                      0.55150707
                    0.87                      0.35783887
                    0.96                       0.4407198
                     1.7                     0.001541799
                     1.8                    0.0064764852
                     1.9                    0.0087400262
                       2                    0.0097547936
                     2.1                     0.011510993
                     2.2                     0.012812116
                     2.3                    0.0086563108
                     2.4                   0.00033891961
                     2.5                    0.0012260209
                     2.6                    0.0016366029
                     2.7                  7.3967995e-005

        Frequency / GHz                run 407/real
----------------------------------------------------------------------
                    0.69                       0.6983382
                    0.78                      0.57190486
                    0.87                      0.37596749
                    0.96                      0.45497871
                     1.7                    0.0017957766
                     1.8                    0.0064647866
                     1.9                    0.0074476719
                       2                    0.0082127037
                     2.1                     0.010804192
                     2.2                     0.013801261
                     2.3                     0.010325538
                     2.4                   0.00042948813
                     2.5                    0.0020913519
                     2.6                    0.0024567732
                     2.7                   0.00011467718
