        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                      0.57569578
                    0.78                      0.56574112
                    0.87                      0.51115661
                    0.96                      0.23340189
                     1.7                    0.0071701329
                     1.8                     0.018019653
                     1.9                     0.015590551
                       2                      0.01300232
                     2.1                    0.0094364754
                     2.2                    0.0063100613
                     2.3                    0.0058003357
                     2.4                    0.0080908688
                     2.5                     0.012397478
                     2.6                     0.017491293
                     2.7                     0.021992785

        Frequency / GHz                run 15/real
----------------------------------------------------------------------
                    0.69                      0.58115609
                    0.78                      0.56632876
                    0.87                      0.51123357
                    0.96                      0.23321709
                     1.7                    0.0082184283
                     1.8                     0.019239912
                     1.9                     0.015626179
                       2                     0.012578106
                     2.1                    0.0085712141
                     2.2                    0.0053224109
                     2.3                    0.0051781174
                     2.4                    0.0081695449
                     2.5                     0.013298438
                     2.6                      0.01914913
                     2.7                     0.024092993

        Frequency / GHz                run 16/real
----------------------------------------------------------------------
                    0.69                      0.58606552
                    0.78                      0.56689911
                    0.87                       0.5113086
                    0.96                      0.23301778
                     1.7                    0.0095254058
                     1.8                     0.020363368
                     1.9                     0.015589875
                       2                     0.011998617
                     2.1                    0.0075114675
                     2.2                    0.0043297012
                     2.3                    0.0049044871
                     2.4                    0.0088411894
                     2.5                     0.014764597
                     2.6                     0.021083542
                     2.7                     0.026076041

        Frequency / GHz                run 17/real
----------------------------------------------------------------------
                    0.69                       0.5904921
                    0.78                      0.56745266
                    0.87                      0.51138147
                    0.96                      0.23280252
                     1.7                     0.011082803
                     1.8                     0.021359965
                     1.9                     0.015463606
                       2                      0.01122971
                     2.1                    0.0062734429
                     2.2                    0.0034917678
                     2.3                    0.0051409142
                     2.4                      0.01003621
                     2.5                      0.01647666
                     2.6                     0.022897066
                     2.7                      0.02766063

        Frequency / GHz                run 18/real
----------------------------------------------------------------------
                    0.69                      0.59449521
                    0.78                      0.56798999
                    0.87                      0.51145224
                    0.96                       0.2325694
                     1.7                      0.01283611
                     1.8                     0.022205018
                     1.9                     0.015228089
                       2                     0.010242758
                     2.1                    0.0049309076
                     2.2                    0.0030056058
                     2.3                    0.0059021657
                     2.4                     0.011493604
                     2.5                     0.018093591
                     2.6                     0.024357271
                     2.7                     0.028786711

        Frequency / GHz                run 19/real
----------------------------------------------------------------------
                    0.69                      0.59812608
                    0.78                      0.56851169
                    0.87                      0.51152067
                    0.96                       0.2323166
                     1.7                     0.014675753
                     1.8                     0.022881277
                     1.9                     0.014864255
                       2                    0.0090268177
                     2.1                     0.003630696
                     2.2                    0.0030131523
                     2.3                    0.0070216656
                     2.4                     0.012921892
                     2.5                     0.019419385
                     2.6                     0.025420188
                     2.7                     0.029523286

        Frequency / GHz                run 20/real
----------------------------------------------------------------------
                    0.69                      0.60142888
                    0.78                      0.56901827
                    0.87                      0.51158667
                    0.96                      0.23204167
                     1.7                     0.016448175
                     1.8                     0.023379936
                     1.9                     0.014355449
                       2                    0.0076052174
                     2.1                     0.002570058
                     2.2                    0.0035101275
                     2.3                    0.0082536083
                     2.4                     0.014139226
                     2.5                     0.020413055
                     2.6                     0.026144843
                     2.7                      0.02997353

        Frequency / GHz                run 21/real
----------------------------------------------------------------------
                    0.69                      0.60444193
                    0.78                       0.5695102
                    0.87                      0.51164999
                    0.96                        0.231742
                     1.7                      0.01799081
                     1.8                     0.023700877
                     1.9                     0.013690357
                       2                    0.0060504103
                     2.1                    0.0019239957
                     2.2                    0.0043494543
                     2.3                    0.0094031322
                     2.4                     0.015090992
                     2.5                     0.021118195
