        Frequency / GHz                run 225/real
----------------------------------------------------------------------
                     0.5                      0.91482536
              0.63157895                      0.31804733
              0.76315789                    0.0058600498
              0.89473684                      0.30788496
               1.0263158                      0.33490163
               1.1578947                      0.22400906
               1.2894737                     0.072896196
               1.4210526                     0.016196338
               1.5526316                    0.0074851229
               1.6842105                     0.025139676
               1.8157895                     0.048174677
               1.9473684                     0.050072198
               2.0789474                     0.022995783
               2.2105263                     0.031431033
               2.3421053                     0.013098608
               2.4736842                    0.0051028656
               2.6052632                     0.002528276
               2.7368421                    0.0031273534
               2.8684211                    0.0071934023
                       3                    0.0007502232

        Frequency / GHz                run 226/real
----------------------------------------------------------------------
                     0.5                      0.91562231
              0.63157895                      0.29046889
              0.76315789                    0.0069570319
              0.89473684                      0.32048869
               1.0263158                        0.333288
               1.1578947                      0.21826298
               1.2894737                     0.066929374
               1.4210526                      0.01566595
               1.5526316                    0.0076838507
               1.6842105                     0.025292436
               1.8157895                     0.045826949
               1.9473684                     0.047433998
               2.0789474                     0.022268424
               2.2105263                     0.034771687
               2.3421053                     0.014165192
               2.4736842                    0.0058234571
               2.6052632                    0.0026300054
               2.7368421                    0.0035543463
               2.8684211                    0.0083065438
                       3                   0.00042739222

        Frequency / GHz                run 227/real
----------------------------------------------------------------------
                     0.5                      0.91641407
              0.63157895                      0.26461262
              0.76315789                    0.0093320303
              0.89473684                      0.33239633
               1.0263158                       0.3311979
               1.1578947                      0.21232647
               1.2894737                     0.064414676
               1.4210526                     0.015185715
               1.5526316                    0.0079443868
               1.6842105                     0.025359285
               1.8157895                      0.04329601
               1.9473684                     0.044916163
               2.0789474                     0.021874164
               2.2105263                     0.038514341
               2.3421053                     0.015586968
               2.4736842                    0.0065068755
               2.6052632                    0.0026290065
               2.7368421                    0.0039891265
               2.8684211                    0.0094636963
                       3                   0.00033867868

        Frequency / GHz                run 228/real
----------------------------------------------------------------------
                     0.5                      0.91719449
              0.63157895                      0.24185748
              0.76315789                     0.012866187
              0.89473684                      0.34355084
               1.0263158                        0.328661
               1.1578947                      0.20622822
               1.2894737                      0.06203442
               1.4210526                     0.014765462
               1.5526316                    0.0082627875
               1.6842105                     0.025332787
               1.8157895                     0.040616957
               1.9473684                     0.042659823
               2.0789474                     0.021911748
               2.2105263                     0.042435905
               2.3421053                     0.017307817
               2.4736842                    0.0070479151
               2.6052632                    0.0025285813
               2.7368421                    0.0043686848
               2.8684211                     0.010517515
                       3                   0.00045789736

        Frequency / GHz                run 229/real
----------------------------------------------------------------------
                     0.5                      0.91795584
              0.63157895                      0.22376953
              0.76315789                     0.017419876
              0.89473684                      0.35391241
               1.0263158                      0.32571026
               1.1578947                      0.20000008
               1.2894737                     0.059825528
               1.4210526                     0.014413526
               1.5526316                    0.0086332391
               1.6842105                     0.025207277
               1.8157895                     0.037841686
               1.9473684                     0.040820017
               2.0789474                     0.022445915
               2.2105263                     0.046274115
               2.3421053                     0.019186664
               2.4736842                    0.0073732968
               2.6052632                    0.0023592914
               2.7368421                     0.004660805
               2.8684211                     0.011384926
                       3                   0.00071945599

        Frequency / GHz                run 230/real
----------------------------------------------------------------------
                     0.5                      0.91868851
              0.63157895                      0.21195618
              0.76315789                     0.022841543
              0.89473684                      0.36345761
               1.0263158                      0.32238115
               1.1578947                      0.19367646
               1.2894737                     0.057822864
               1.4210526                     0.014136252
               1.5526316                    0.0090484097
               1.6842105                     0.024979325
               1.8157895                     0.035038553
               1.9473684                       0.0395447
               2.0789474                     0.023483677
               2.2105263                      0.04978337
               2.3421053                     0.021024971
               2.4736842                    0.0074719528
               2.6052632                    0.0021600095
               2.7368421                    0.0048637452
               2.8684211                     0.012047398
                       3                    0.0010536281

        Frequency / GHz                run 231/real
----------------------------------------------------------------------
                     0.5                      0.91938039
              0.63157895                      0.20784999
              0.76315789                     0.028975901
              0.89473684                      0.37217802
               1.0263158                      0.31871078
               1.1578947                      0.18729384
               1.2894737                     0.056057626
               1.4210526                     0.013937619
               1.5526316                    0.0094998999
               1.6842105                     0.024648074
               1.8157895                      0.03228944
               1.9473684                     0.038948592
               2.0789474                     0.024964389
               2.2105263                     0.052783699
               2.3421053                     0.022630735
               2.4736842                    0.0073863232
               2.6052632                    0.0019613334
               2.7368421                    0.0049924541
               2.8684211                     0.012526019
                       3                    0.0014075067

        Frequency / GHz                run 232/real
----------------------------------------------------------------------
                     0.5                      0.92001635
              0.63157895                      0.21245589
              0.76315789                     0.035670927
              0.89473684                      0.38007848
               1.0263158                      0.31473712
               1.1578947                      0.18089003
               1.2894737                     0.054555837
               1.4210526                     0.013819051
               1.5526316                    0.0099787377
               1.6842105                     0.024215444
               1.8157895                     0.029683952
               1.9473684                      0.03908921
               2.0789474                     0.026770862
               2.2105263                     0.055184012
               2.3421053                     0.023880219
               2.4736842                    0.0071803561
               2.6052632                    0.0017804982
               2.7368421                    0.0050660874
               2.8684211                     0.012856847
                       3                    0.0017489878

        Frequency / GHz                run 233/real
----------------------------------------------------------------------
                     0.5                      0.92057739
              0.63157895                      0.22612696
              0.76315789                     0.042783293
              0.89473684                       0.3871752
               1.0263158                      0.31049837
               1.1578947                      0.17450346
               1.2894737                     0.053337137
               1.4210526                     0.013779441
               1.5526316                     0.010475882
               1.6842105                     0.023686169
               1.8157895                     0.027311223
               1.9473684                     0.039953688
               2.0789474                     0.028757544
               2.2105263                     0.056976638
               2.3421053                     0.024739808
               2.4736842                    0.0069124405
               2.6052632                     0.001624057
               2.7368421                    0.0051016136
               2.8684211                      0.01307619
                       3                    0.0020622514

        Frequency / GHz                run 234/real
----------------------------------------------------------------------
                     0.5                      0.92103973
              0.63157895                      0.24844424
              0.76315789                     0.050182184
              0.89473684                      0.39349367
               1.0263158                      0.30603216
               1.1578947                       0.1681724
               1.2894737                     0.052413913
               1.4210526                     0.013815351
               1.5526316                     0.010982668
               1.6842105                     0.023067632
               1.8157895                     0.025250638
               1.9473684                     0.041461723
               2.0789474                     0.030782901
               2.2105263                     0.058213715
               2.3421053                     0.025246438
               2.4736842                    0.0066242355
               2.6052632                    0.0014923414
               2.7368421                    0.0051119514
               2.8684211                     0.013214546
                       3                    0.0023417205

        Frequency / GHz                run 235/real
----------------------------------------------------------------------
                     0.5                      0.92137333
              0.63157895                      0.27825175
              0.76315789                     0.057751625
              0.89473684                      0.39906674
               1.0263158                      0.30137518
               1.1578947                      0.16193421
               1.2894737                     0.051790928
               1.4210526                     0.013921379
               1.5526316                     0.011491152
               1.6842105                     0.022369521
               1.8157895                     0.023563324
               1.9473684                     0.043483419
               2.0789474                     0.032733196
               2.2105263                     0.058979395
               2.3421053                     0.025471862
               2.4736842                    0.0063408838
               2.6052632                    0.0013828619
               2.7368421                    0.0051062143
               2.8684211                     0.013295401
                       3                    0.0025873865

        Frequency / GHz                run 236/real
----------------------------------------------------------------------
                     0.5                      0.92154043
              0.63157895                      0.31384301
              0.76315789                     0.065391476
              0.89473684                      0.40393276
               1.0263158                      0.29656255
               1.1578947                      0.15582464
               1.2894737                     0.051465399
               1.4210526                     0.014090621
               1.5526316                      0.01199436
               1.6842105                     0.021603355
               1.8157895                     0.022286239
               1.9473684                     0.045865082
               2.0789474                     0.034532346
               2.2105263                     0.059367134
               2.3421053                     0.025493221
               2.4736842                    0.0060754213
               2.6052632                    0.0012922546
               2.7368421                    0.0050905694
               2.8684211                     0.013336024
                       3                    0.0028018497

        Frequency / GHz                run 237/real
----------------------------------------------------------------------
                     0.5                      0.92149323
              0.63157895                      0.35324042
              0.76315789                     0.073017433
              0.89473684                      0.40813383
               1.0263158                      0.29162756
               1.1578947                      0.14987709
               1.2894737                     0.051427543
               1.4210526                     0.014315174
               1.5526316                     0.012486433
               1.6842105                     0.020781885
               1.8157895                     0.021430008
               1.9473684                     0.048454265
               2.0789474                     0.036140091
               2.2105263                     0.059465246
               2.3421053                     0.025377238
               2.4736842                    0.0058332938
               2.6052632                    0.0012172066
               2.7368421                     0.005069097
               2.8684211                     0.013348812
                       3                    0.0029886716

        Frequency / GHz                run 209/real
----------------------------------------------------------------------
                     0.5                       0.9211711
              0.63157895                      0.39448237
              0.76315789                     0.080560282
              0.89473684                      0.41171441
               1.0263158                      0.28660137
               1.1578947                      0.14412212
               1.2894737                     0.051661487
               1.4210526                      0.01458663
               1.5526316                     0.012962659
               1.6842105                     0.019918479
               1.8157895                     0.020980675
               1.9473684                     0.051117921
               2.0789474                     0.037543957
               2.2105263                     0.059349782
               2.3421053                     0.025175206
               2.4736842                     0.005615665
               2.6052632                    0.0011548115
               2.7368421                    0.0050444522
               2.8684211                     0.013342545
                       3                    0.0031515372

