        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                      0.82322639
                    0.78                       0.3907893
                    0.87                     0.055658951
                    0.96                       0.1198053
                     1.7                    0.0065245375
                     1.8                       0.0231321
                     1.9                     0.066620728
                       2                      0.10007029
                     2.1                     0.088714689
                     2.2                      0.03315548
                     2.3                     0.023825071
                     2.4                     0.026293589
                     2.5                    0.0088892651
                     2.6                    0.0058168521
                     2.7                     0.014402055

        Frequency / GHz                run 2/real
----------------------------------------------------------------------
                    0.69                      0.82664717
                    0.78                      0.38580735
                    0.87                      0.05411644
                    0.96                       0.1176771
                     1.7                    0.0062090103
                     1.8                     0.022304829
                     1.9                     0.064600383
                       2                     0.097536262
                     2.1                     0.087084997
                     2.2                     0.032712482
                     2.3                     0.024457376
                     2.4                     0.027465927
                     2.5                    0.0095861984
                     2.6                    0.0062258154
                     2.7                     0.014793614

        Frequency / GHz                run 3/real
----------------------------------------------------------------------
                    0.69                      0.82917014
                    0.78                      0.38084711
                    0.87                     0.052591754
                    0.96                       0.1154568
                     1.7                    0.0058740904
                     1.8                     0.021398004
                     1.9                     0.062489373
                       2                     0.095149551
                     2.1                     0.085904318
                     2.2                     0.032627686
                     2.3                     0.025482781
                     2.4                     0.029067228
                     2.5                     0.010414771
                     2.6                    0.0066669886
                     2.7                      0.01524117

        Frequency / GHz                run 4/real
----------------------------------------------------------------------
                    0.69                      0.83090938
                    0.78                      0.37592322
                    0.87                     0.051086737
                    0.96                      0.11314543
                     1.7                    0.0055244845
                     1.8                     0.020426791
                     1.9                     0.060360555
                       2                       0.0930676
                     2.1                      0.08531188
                     2.2                     0.032972091
                     2.3                     0.026901819
                     2.4                     0.030971828
                     2.5                     0.011262431
                     2.6                    0.0070699395
                     2.7                     0.015668773

        Frequency / GHz                run 5/real
----------------------------------------------------------------------
                    0.69                      0.83197392
                    0.78                      0.37104832
                    0.87                      0.04960321
                    0.96                      0.11074463
                     1.7                    0.0051661879
                     1.8                     0.019413453
                     1.9                     0.058304327
                       2                     0.091446909
                     2.1                     0.085392839
                     2.2                     0.033778198
                     2.3                     0.028634722
                     2.4                     0.032952996
                     2.5                     0.012007971
                     2.6                    0.0073830456
                     2.7                     0.016022903

        Frequency / GHz                run 6/real
----------------------------------------------------------------------
                    0.69                      0.83246469
                    0.78                      0.36623322
                    0.87                     0.048142817
                    0.96                      0.10825649
                     1.7                    0.0048062495
                     1.8                     0.018386509
                     1.9                     0.056419396
                       2                      0.09041337
                     2.1                     0.086153246
                     2.2                     0.035025225
                     2.3                     0.030526333
                     2.4                     0.034764446
                     2.5                     0.012573763
                     2.6                    0.0075906897
                     2.7                     0.016285716

        Frequency / GHz                run 7/real
----------------------------------------------------------------------
                    0.69                      0.83247318
                    0.78                      0.36148708
                    0.87                     0.046707082
                    0.96                      0.10568379
                     1.7                    0.0044523883
                     1.8                     0.017378727
                     1.9                     0.054799489
                       2                     0.090035104
                     2.1                     0.087516786
                     2.2                     0.036637811
                     2.3                     0.032388469
                     2.4                     0.036233062
                     2.5                     0.012943738
                     2.6                    0.0077054376
                     2.7                     0.016464879

        Frequency / GHz                run 8/real
----------------------------------------------------------------------
                    0.69                      0.83208071
                    0.78                      0.35681758
                    0.87                     0.045297489
                    0.96                      0.10302979
                     1.7                     0.004112521
                     1.8                     0.016424018
                     1.9                     0.053519188
                       2                     0.090308506
                     2.1                     0.089345171
                     2.2                     0.038500612
                     2.3                     0.034057949
                     2.4                     0.037297958
                     2.5                     0.013145362
                     2.6                    0.0077511993
                     2.7                     0.016578345

        Frequency / GHz                run 9/real
----------------------------------------------------------------------
                    0.69                      0.83135852
                    0.78                      0.35223108
                    0.87                     0.043915355
                    0.96                      0.10029848
                     1.7                    0.0037941685
                     1.8                      0.01555384
                     1.9                     0.052622762
                       2                     0.091163133
                     2.1                     0.091472335
                     2.2                      0.04048315
                     2.3                     0.035436224
                     2.4                     0.037988141
                     2.5                     0.013222188
                     2.6                    0.0077512459
                     2.7                     0.016644483

        Frequency / GHz                run 10/real
----------------------------------------------------------------------
                    0.69                      0.83036838
                    0.78                      0.34773259
                    0.87                      0.04256187
                    0.96                     0.097494398
                     1.7                    0.0035039239
                     1.8                     0.014793793
                     1.9                      0.05211968
                       2                     0.092482028
                     2.1                     0.093738154
                     2.2                     0.042464859
                     2.3                     0.036494575
                     2.4                     0.038376762
                     2.5                     0.013215525
                     2.6                    0.0077235532
                     2.7                     0.016678237

        Frequency / GHz                run 11/real
----------------------------------------------------------------------
                    0.69                      0.82916328
                    0.78                      0.34332621
                    0.87                     0.041238169
                    0.96                     0.094622689
                     1.7                    0.0032470097
                     1.8                     0.014161258
                     1.9                     0.051987299
                       2                     0.094128759
                     2.1                     0.096010752
                     2.2                      0.04435178
                     2.3                     0.037255032
                     2.4                     0.038544501
                     2.5                     0.013157424
                     2.6                     0.007680461
                     2.7                     0.016690546

        Frequency / GHz                run 12/real
----------------------------------------------------------------------
                    0.69                      0.82778823
                    0.78                      0.33901495
                    0.87                     0.039945173
                    0.96                     0.091689101
                     1.7                    0.0030269801
                     1.8                     0.013664369
                     1.9                     0.052179122
                       2                     0.095971212
                     2.1                     0.098195461
                     2.2                     0.046082524
                     2.3                     0.037765239
                     2.4                      0.03856095
                     2.5                     0.013070223
                     2.6                    0.0076298766
                     2.7                     0.016689002

        Frequency / GHz                run 13/real
----------------------------------------------------------------------
                    0.69                      0.82628132
                    0.78                      0.33480105
                    0.87                     0.038683748
                    0.96                     0.088699986
                     1.7                      0.00284564
                     1.8                     0.013302503
                     1.9                     0.052635324
                       2                     0.097897071
                     2.1                      0.10023325
                     2.2                     0.047625691
                     2.3                     0.038079149
                     2.4                     0.038479267
                     2.5                     0.012968489
                     2.6                     0.007576628
                     2.7                     0.016678719

        Frequency / GHz                run 14/real
----------------------------------------------------------------------
                    0.69                      0.82467455
                    0.78                      0.33068603
                    0.87                     0.037454647
                    0.96                     0.085662198
                     1.7                    0.0027031155
                     1.8                     0.013067856
                     1.9                     0.053292484
                       2                     0.099820315
                     2.1                      0.10209397
                     2.2                     0.048972924
                     2.3                     0.038246246
                     2.4                      0.03833732
                     2.5                     0.012861338
                     2.6                    0.0075235515
                     2.7                      0.01666311

