        Frequency / GHz                c4=0.3/real
----------------------------------------------------------------------
                    0.69                      0.82322639
                    0.78                       0.3907893
                    0.87                     0.055658951
                    0.96                       0.1198053
                     1.7                    0.0065245375
                     1.8                       0.0231321
                     1.9                     0.066620728
                       2                      0.10007029
                     2.1                     0.088714689
                     2.2                      0.03315548
                     2.3                     0.023825071
                     2.4                     0.026293589
                     2.5                    0.0088892651
                     2.6                    0.0058168521
                     2.7                     0.014402055

        Frequency / GHz                c4=0.5/real
----------------------------------------------------------------------
                    0.69                      0.81809113
                    0.78                      0.36363232
                    0.87                     0.058691947
                    0.96                      0.13824451
                     1.7                    0.0067677489
                     1.8                     0.024456929
                     1.9                     0.065939332
                       2                     0.095888558
                     2.1                     0.083371298
                     2.2                     0.029442793
                     2.3                     0.022048029
                     2.4                     0.025759039
                     2.5                    0.0094831776
                     2.6                    0.0066111717
                     2.7                     0.015225867

        Frequency / GHz                c4=0.7/real
----------------------------------------------------------------------
                    0.69                       0.8122819
                    0.78                      0.33476771
                    0.87                     0.065579556
                    0.96                      0.15783576
                     1.7                    0.0071158127
                     1.8                     0.025803797
                     1.9                     0.064772559
                       2                     0.090906851
                     2.1                     0.077544032
                     2.2                     0.026593003
                     2.3                     0.020789911
                     2.4                     0.026321408
                     2.5                     0.010901667
                     2.6                    0.0077983924
                     2.7                      0.01635219

        Frequency / GHz                c4=0.9/real
----------------------------------------------------------------------
                    0.69                      0.80569175
                    0.78                      0.30438253
                    0.87                     0.076608814
                    0.96                      0.17831677
                     1.7                    0.0075805806
                     1.8                     0.027132883
                     1.9                      0.06303061
                       2                      0.08515125
                     2.1                     0.071577953
                     2.2                     0.025225749
                     2.3                     0.020407423
                     2.4                     0.028388851
                     2.5                     0.013038138
                     2.6                    0.0091206831
                     2.7                     0.017501233

        Frequency / GHz                c4=1.1/real
----------------------------------------------------------------------
                    0.69                      0.79819396
                    0.78                      0.27281136
                    0.87                     0.091922169
                    0.96                      0.19939363
                     1.7                     0.008171467
                     1.8                     0.028392331
                     1.9                     0.060645093
                       2                     0.078765745
                     2.1                     0.066033777
                     2.2                     0.025814021
                     2.3                     0.021243593
                     2.4                      0.03194623
                     2.5                     0.015443078
                     2.6                     0.010278464
                     2.7                     0.018453697

        Frequency / GHz                c4=1.3/real
----------------------------------------------------------------------
                    0.69                      0.78963793
                    0.78                      0.24058017
                    0.87                      0.11148371
                    0.96                      0.22075456
                     1.7                     0.008893964
                     1.8                     0.029519856
                     1.9                     0.057590901
                       2                     0.072044645
                     2.1                     0.061621307
                     2.2                     0.028442298
                     2.3                     0.023481812
                     2.4                     0.036377794
                     2.5                     0.017599223
                     2.6                     0.011116292
                     2.7                     0.019139209

        Frequency / GHz                c4=1.5/real
----------------------------------------------------------------------
                    0.69                      0.77984471
                    0.78                      0.20844888
                    0.87                      0.13506014
                    0.96                      0.24208518
                     1.7                     0.009748143
                     1.8                     0.030447178
                     1.9                     0.053908191
                       2                     0.065428636
                     2.1                     0.059007693
                     2.2                     0.032724925
                     2.3                     0.027010461
                     2.4                     0.040778367
                     2.5                     0.019223569
                     2.6                     0.011638458
                     2.7                     0.019588533

        Frequency / GHz                c4=1.7/real
----------------------------------------------------------------------
                    0.69                      0.76860125
                    0.78                      0.17744346
                    0.87                      0.16222201
                    0.96                      0.26308338
                     1.7                     0.010727372
                     1.8                     0.031107565
                     1.9                     0.049715836
                       2                     0.059442406
                     2.1                      0.05856694
                     2.2                     0.037971226
                     2.3                     0.031412827
                     2.4                      0.04447251
                     2.5                     0.020299156
                     2.6                     0.011921835
                     2.7                     0.019863619

        Frequency / GHz                c4=1.9/real
----------------------------------------------------------------------
                    0.69                      0.75565417
                    0.78                      0.14886208
                    0.87                      0.19236722
                    0.96                      0.28347279
                     1.7                     0.011817602
                     1.8                       0.0314455
                     1.9                     0.045207355
                       2                     0.054578952
                     2.1                     0.060228832
                     2.2                     0.043468897
                     2.3                     0.036119074
                     2.4                       0.0472247
                     2.5                     0.020940822
                     2.6                     0.012047741
                     2.7                     0.020021084

        Frequency / GHz                c4=2.1/real
----------------------------------------------------------------------
                    0.69                      0.74070279
                    0.78                      0.12423647
                    0.87                      0.22476494
                    0.96                      0.30301317
                     1.7                     0.012997417
                     1.8                      0.03142646
                     1.9                      0.04062509
                       2                     0.051174877
                     2.1                     0.063537059
                     2.2                     0.048689124
                     2.3                     0.040615412
                     2.4                     0.049111789
                     2.5                     0.021282412
                     2.6                     0.012077621
                     2.7                     0.020102608

        Frequency / GHz                c4=2.3/real
----------------------------------------------------------------------
                    0.69                      0.72339164
                    0.78                      0.10523109
                    0.87                      0.25861291
                    0.96                      0.32150755
                     1.7                      0.01423916
                     1.8                     0.031043906
                     1.9                     0.036218646
                       2                     0.049336906
                     2.1                     0.067860676
                     2.2                     0.053340294
                     2.3                     0.044573579
                     2.4                      0.05032785
                     2.5                     0.021431107
                     2.6                      0.01205203
                     2.7                      0.02013624

        Frequency / GHz                c4=2.5/real
----------------------------------------------------------------------
                    0.69                      0.70330413
                    0.78                     0.093473055
                    0.87                      0.29309933
                    0.96                      0.33880554
                     1.7                     0.015510906
                     1.8                     0.030321142
                     1.9                     0.032201585
                       2                        0.048951
                     2.1                     0.072606992
                     2.2                     0.057321097
                     2.3                     0.047861725
                     2.4                     0.051067179
                     2.5                     0.021461163
                     2.6                     0.011996058
                     2.7                     0.020140152

        Frequency / GHz                c4=2.7/real
----------------------------------------------------------------------
                    0.69                      0.67995839
                    0.78                     0.090326893
                    0.87                      0.32745995
                    0.96                      0.35480339
                     1.7                     0.016779148
                     1.8                     0.029307219
                     1.9                     0.028721266
                       2                     0.049755223
                     2.1                      0.07733701
                     2.2                     0.060646404
                     2.3                     0.050486709
                     2.4                     0.051483446
                     2.5                      0.02142069
                     2.6                     0.011924771
                     2.7                     0.020125904

        Frequency / GHz                c4=2.9/real
----------------------------------------------------------------------
                    0.69                      0.65280862
                    0.78                     0.096656438
                    0.87                      0.36102249
                    0.96                      0.36944131
                     1.7                     0.018011708
                     1.8                     0.028068252
                     1.9                     0.025849294
                       2                     0.051430655
                     2.1                     0.081783117
                     2.2                     0.063386775
                     2.3                     0.052527032
                     2.4                     0.051686449
                     2.5                     0.021339911
                     2.6                      0.01184701
                     2.7                     0.020100851

