        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                 -8.6858896e-007
                  0.0035                 -1.7743625e-013
                   0.007                 -3.4416847e-012
                  0.0105                  -2.226825e-011
                   0.014                 -9.1387385e-011
                  0.0175                 -2.8721529e-010
                   0.021                 -7.5301246e-010
                  0.0245                 -1.7281905e-009
                   0.028                 -3.5804428e-009
                  0.0315                 -6.8404511e-009
                   0.035                 -1.2244754e-008
                  0.0385                 -2.0777449e-008
                   0.042                 -3.3731552e-008
                  0.0455                 -5.2763261e-008
                   0.049                 -7.9977471e-008
                  0.0525                 -1.1801482e-007
                   0.056                 -1.7014749e-007
                  0.0595                 -2.4037984e-007
                   0.063                 -3.3354033e-007
                  0.0665                 -4.5544209e-007
                    0.07                 -6.1287287e-007
                  0.0735                 -8.1380652e-007
                   0.077                 -1.0674212e-006
                  0.0805                 -1.3841154e-006
                   0.084                 -1.7757323e-006
                  0.0875                 -2.2555763e-006
                   0.091                 -2.8385785e-006
                  0.0945                 -3.5413233e-006
                   0.098                 -4.3824609e-006
                  0.1015                 -5.3826933e-006
                   0.105                 -6.5651744e-006
                  0.1085                 -7.9557385e-006
                   0.112                 -9.5830929e-006
                  0.1155                 -1.1479019e-005
                   0.119                 -1.3678868e-005
                  0.1225                  -1.622143e-005
                   0.126                 -1.9149111e-005
                  0.1295                 -2.2508255e-005
                   0.133                  -2.634901e-005
                  0.1365                 -3.0726092e-005
                    0.14                 -3.5697763e-005
                  0.1435                 -4.1327551e-005
                   0.147                 -4.7682591e-005
                  0.1505                 -5.4837502e-005
                   0.154                  -6.287048e-005
                  0.1575                 -7.1867999e-005
                   0.161                 -8.1923267e-005
                  0.1645                 -9.3136732e-005
                   0.168                  -0.00010561909
                  0.1715                  -0.00011948864
                   0.175                  -0.00013487626
                  0.1785                  -0.00015192113
                   0.182                  -0.00017077417
                  0.1855                  -0.00019159681
                   0.189                   -0.0002145628
                  0.1925                     -0.00023986
                   0.196                  -0.00026768703
                  0.1995                  -0.00029825475
                   0.203                  -0.00033179491
                  0.2065                  -0.00036854924
                    0.21                  -0.00040878388
                  0.2135                  -0.00045278525
                   0.217                  -0.00050085703
                  0.2205                  -0.00055333681
                   0.224                  -0.00061058634
                  0.2275                   -0.0006729962
                   0.231                  -0.00074099608
                  0.2345                  -0.00081504133
                   0.238                   -0.0008956312
                  0.2415                  -0.00098330184
                   0.245                   -0.0010786337
                  0.2485                   -0.0011822421
                   0.252                   -0.0012947914
                  0.2555                   -0.0014170083
                   0.259                   -0.0015496659
                  0.2625                    -0.001693592
                   0.266                   -0.0018496916
                  0.2695                   -0.0020189448
                   0.273                    -0.002202416
                  0.2765                   -0.0024012624
                    0.28                   -0.0026167387
                  0.2835                   -0.0028502149
                   0.287                    -0.003103188
                  0.2905                   -0.0033772772
                   0.294                   -0.0036742419
                  0.2975                   -0.0039960185
                   0.301                   -0.0043446708
                  0.3045                   -0.0047224622
                   0.308                   -0.0051318598
                  0.3115                   -0.0055755183
                   0.315                   -0.0060563538
                  0.3185                   -0.0065775409
                   0.322                   -0.0071425256
                  0.3255                    -0.007755099
                   0.329                   -0.0084194037
                  0.3325                   -0.0091399941
                   0.336                   -0.0099218944
                  0.3395                    -0.010770549
                   0.343                    -0.011692054
                  0.3465                    -0.012693079
                    0.35                    -0.013780941
                  0.3535                    -0.014963702
                   0.357                    -0.016250269
                  0.3605                    -0.017650511
                   0.364                    -0.019175214
                  0.3675                    -0.020836354
                   0.371                    -0.022647194
                  0.3745                    -0.024622465
                   0.378                    -0.026778415
                  0.3815                    -0.029133223
                   0.385                    -0.031707083
                  0.3885                    -0.034522582
                   0.392                    -0.037604905
                  0.3955                    -0.040982246
                   0.399                    -0.044686296
                  0.4025                    -0.048752565
                   0.406                    -0.053220847
                  0.4095                    -0.058136057
                   0.413                     -0.06354869
                  0.4165                    -0.069515721
                    0.42                    -0.076101443
                  0.4235                    -0.083378628
                   0.427                    -0.091429644
                  0.4305                     -0.10034783
                   0.434                     -0.11023958
                  0.4375                     -0.12122546
                   0.441                     -0.13344331
                  0.4445                     -0.14705008
                   0.448                     -0.16222544
                  0.4515                     -0.17917423
                   0.455                      -0.1981314
                  0.4585                     -0.21936527
                   0.462                     -0.24318356
                  0.4655                     -0.26993752
                   0.469                     -0.30002985
                  0.4725                     -0.33391872
                   0.476                     -0.37212704
                  0.4795                      -0.4152476
                   0.483                     -0.46395066
                  0.4865                     -0.51898938
                    0.49                     -0.58120217
                  0.4935                      -0.6515147
                   0.497                     -0.73093267
                  0.5005                     -0.82052913
                   0.504                     -0.92141698
                  0.5075                      -1.0347151
                   0.511                      -1.1614798
                  0.5145                      -1.3026263
                   0.518                      -1.4588184
                  0.5215                      -1.6303386
                   0.525                      -1.8169291
                  0.5285                      -2.0176384
                   0.532                      -2.2306791
                  0.5355                      -2.4533563
                   0.539                      -2.6820494
                  0.5425                      -2.9123628
                   0.546                      -3.1393863
                  0.5495                      -3.3581091
                   0.553                      -3.5639143
                  0.5565                      -3.7530819
                    0.56                      -3.9231819
                  0.5635                       -4.073324
                   0.567                       -4.204174
                  0.5705                      -4.3177683
                   0.574                      -4.4172455
                  0.5775                      -4.5064644
                   0.581                      -4.5896627
                  0.5845                      -4.6712205
                   0.588                      -4.7554539
                  0.5915                      -4.8465366
                   0.595                      -4.9484796
                  0.5985                      -5.0651927
                   0.602                      -5.2005237
                  0.6055                      -5.3584196
                   0.609                      -5.5430231
                  0.6125                        -5.75884
                   0.616                      -6.0109276
                  0.6195                      -6.3050876
                   0.623                      -6.6481171
                  0.6265                      -7.0481482
                    0.63                      -7.5150649
                  0.6335                      -8.0610777
                   0.637                      -8.7015875
                  0.6405                      -9.4564255
                   0.644                       -10.35174
                  0.6475                      -11.423067
                   0.651                      -12.720231
                  0.6545                      -14.314909
                   0.658                      -16.309596
                  0.6615                      -18.824968
                   0.665                      -21.776982
                  0.6685                      -23.634105
                   0.672                      -21.972818
                  0.6755                      -18.962658
                   0.679                      -16.343639
                  0.6825                      -14.253377
                   0.686                      -12.573424
                  0.6895                      -11.198374
                   0.693                      -10.054046
                  0.6965                      -9.0889804
                     0.7                      -8.2665066
                  0.7035                      -7.5596336
                   0.707                      -6.9479088
                  0.7105                      -6.4154975
                   0.714                      -5.9498436
                  0.7175                      -5.5408013
                   0.721                      -5.1800802
                  0.7245                      -4.8608896
                   0.728                      -4.5775409
                  0.7315                       -4.325253
                   0.735                      -4.1000093
                  0.7385                      -3.8984008
                   0.742                      -3.7175356
                  0.7455                      -3.5549303
                   0.749                      -3.4084449
                  0.7525                      -3.2762745
                   0.756                      -3.1568227
                  0.7595                      -3.0487353
                   0.763                      -2.9508217
                  0.7665                      -2.8620531
                    0.77                      -2.7815342
                  0.7735                       -2.708477
                   0.777                       -2.642193
                  0.7805                      -2.5820753
                   0.784                      -2.5275908
                  0.7875                       -2.478269
                   0.791                      -2.4336927
                  0.7945                        -2.39349
                   0.798                      -2.3573362
                  0.8015                      -2.3249343
                   0.805                      -2.2960261
                  0.8085                       -2.270381
                   0.812                      -2.2477909
                  0.8155                      -2.2280656
                   0.819                      -2.2110442
                  0.8225                      -2.1965734
                   0.826                      -2.1845196
                  0.8295                      -2.1747618
                   0.833                      -2.1671902
                  0.8365                      -2.1617031
                    0.84                      -2.1582113
                  0.8435                      -2.1566277
                   0.847                      -2.1568754
                  0.8505                      -2.1588816
                   0.854                      -2.1625797
