        Frequency / GHz                run 1/real
----------------------------------------------------------------------
                    0.69                      0.54038317
                    0.78                      0.30343457
                    0.87                      0.19482955
                    0.96                      0.21373813
                     1.7                     0.035866802
                     1.8                     0.066451869
                     1.9                     0.064077591
                       2                     0.056759065
                     2.1                      0.06225303
                     2.2                     0.076012907
                     2.3                     0.089244868
                     2.4                     0.093989663
                     2.5                     0.088512758
                     2.6                     0.076720775
                     2.7                     0.061910803

        Frequency / GHz                run 2/real
----------------------------------------------------------------------
                    0.69                      0.53973688
                    0.78                      0.32242591
                    0.87                      0.20441683
                    0.96                      0.21750766
                     1.7                     0.034534969
                     1.8                     0.064292494
                     1.9                     0.061128268
                       2                     0.053562534
                     2.1                     0.059080891
                     2.2                     0.073515485
                     2.3                     0.088404445
                     2.4                     0.095258504
                     2.5                     0.091366947
                     2.6                     0.080106354
                     2.7                     0.064831901

        Frequency / GHz                run 3/real
----------------------------------------------------------------------
                    0.69                      0.54308583
                    0.78                      0.34026572
                    0.87                      0.21332874
                    0.96                      0.22086709
                     1.7                     0.033199812
                     1.8                     0.062125409
                     1.9                     0.058241633
                       2                     0.050530569
                     2.1                       0.0562213
                     2.2                     0.071580076
                     2.3                     0.088426535
                     2.4                     0.097523671
                     2.5                     0.095014073
                     2.6                     0.083826983
                     2.7                     0.067601938

        Frequency / GHz                run 4/real
----------------------------------------------------------------------
                    0.69                      0.55047415
                    0.78                      0.35671849
                    0.87                      0.22155976
                    0.96                      0.22383933
                     1.7                      0.03191156
                     1.8                      0.06001073
                     1.9                     0.055480385
                       2                     0.047735268
                     2.1                     0.053770447
                     2.2                     0.070326447
                     2.3                      0.08939868
                     2.4                      0.10072974
                     2.5                     0.099203995
                     2.6                     0.087522901
                     2.7                     0.069910501

        Frequency / GHz                run 5/real
----------------------------------------------------------------------
                    0.69                      0.56158614
                    0.78                      0.37165428
                    0.87                      0.22912049
                    0.96                      0.22644892
                     1.7                     0.030711214
                     1.8                     0.057997868
                     1.9                     0.052896488
                       2                     0.045235934
                     2.1                     0.051804106
                     2.2                     0.069831129
                     2.3                     0.091317622
                     2.4                      0.10468871
                     2.5                      0.10358693
                     2.6                     0.090846465
                     2.7                     0.071572092

        Frequency / GHz                run 6/real
----------------------------------------------------------------------
                    0.69                      0.57579028
                    0.78                      0.38503129
                    0.87                      0.23603353
                    0.96                      0.22872087
                     1.7                      0.02962764
