        Frequency / GHz                Csh1=0.3/real
----------------------------------------------------------------------
                    0.69                      0.48113052
                    0.78                      0.24071937
                    0.87                      0.12025902
                    0.96                      0.28321727
                     1.7                    0.0081531417
                     1.8                     0.041327952
                     1.9                     0.023176457
                       2                     0.013825384
                     2.1                     0.013312036
                     2.2                     0.013341155
                     2.3                     0.014061925
                     2.4                     0.017352278
                     2.5                     0.022824793
                     2.6                     0.028973805
                     2.7                     0.036963053

        Frequency / GHz                Csh1=0.5/real
----------------------------------------------------------------------
                    0.69                      0.48521374
                    0.78                      0.25682357
                    0.87                       0.1313358
                    0.96                      0.28856206
                     1.7                     0.008671338
                     1.8                     0.041882585
                     1.9                     0.020662469
                       2                      0.01263491
                     2.1                     0.014865041
                     2.2                     0.016135642
                     2.3                     0.015991634
                     2.4                     0.017056698
                     2.5                     0.020391886
                     2.6                     0.025385637
                     2.7                     0.033005402

        Frequency / GHz                Csh1=0.7/real
----------------------------------------------------------------------
                    0.69                      0.49156914
                    0.78                       0.2725161
                    0.87                      0.14232938
                    0.96                       0.2930055
                     1.7                    0.0091421956
                     1.8                     0.042176849
                     1.9                     0.018283538
                       2                     0.011899496
                     2.1                     0.016915571
                     2.2                       0.0193088
                     2.3                     0.017958483
                     2.4                     0.016394986
                     2.5                     0.017583201
                     2.6                     0.021847142
                     2.7                     0.029693803

        Frequency / GHz                Csh1=0.9/real
----------------------------------------------------------------------
                    0.69                      0.50025402
                    0.78                      0.28750313
                    0.87                      0.15307469
                    0.96                      0.29656201
                     1.7                    0.0095552887
                     1.8                     0.042239686
                     1.9                     0.016068359
                       2                     0.011614371
                     2.1                     0.019440731
                     2.2                     0.022813191
                     2.3                     0.019873926
                     2.4                     0.015347158
                     2.5                     0.014624686
                     2.6                     0.018767175
                     2.7                     0.027420744

        Frequency / GHz                Csh1=1.1/real
----------------------------------------------------------------------
                    0.69                      0.51122679
                    0.78                      0.30152469
                    0.87                      0.16342851
                    0.96                      0.29926475
                     1.7                    0.0099052519
                     1.8                      0.04210504
                     1.9                     0.014036349
                       2                     0.011760664
                     2.1                     0.022398979
                     2.2                     0.026575617
                     2.3                     0.021635603
                     2.4                     0.013947642
                     2.5                     0.011797047
                     2.6                     0.016452769
                     2.7                     0.026298583

        Frequency / GHz                Csh1=1.3/real
----------------------------------------------------------------------
                    0.69                      0.52433948
                    0.78                      0.31436924
