        Frequency                Csh2=0.3/abs,dB
----------------------------------------------------------------------
                       0                 -8.6858896e-007
                  0.0035                 -4.8216373e-014
                   0.007                 -8.3992922e-013
                  0.0105                  -4.658666e-012
                   0.014                 -1.6417675e-011
                  0.0175                 -4.5127632e-011
                   0.021                 -1.0556686e-010
                  0.0245                 -2.1992645e-010
                   0.028                 -4.1908997e-010
                  0.0315                 -7.4380699e-010
                   0.035                 -1.2453904e-009
                  0.0385                  -1.986774e-009
                   0.042                 -3.0431369e-009
                  0.0455                 -4.5040525e-009
                   0.049                 -6.4771369e-009
                  0.0525                 -9.0906572e-009
                   0.056                 -1.2504148e-008
                  0.0595                 -1.6909644e-008
                   0.063                 -2.2547718e-008
                  0.0665                 -2.9714313e-008
                    0.07                 -3.8764039e-008
                  0.0735                 -5.0132598e-008
                   0.077                 -6.4324268e-008
                  0.0805                 -8.1936693e-008
                   0.084                 -1.0365883e-007
                  0.0875                  -1.302359e-007
                   0.091                 -1.6255064e-007
                  0.0945                 -2.0155681e-007
                   0.098                 -2.4827336e-007
                  0.1015                 -3.0388277e-007
                   0.105                 -3.6964726e-007
                  0.1085                 -4.4694632e-007
                   0.112                 -5.3737037e-007
                  0.1155                 -6.4266769e-007
                   0.119                 -7.6481372e-007
                  0.1225                 -9.0608264e-007
                   0.126                 -1.0689747e-006
                  0.1295                 -1.2562878e-006
                   0.133                 -1.4714389e-006
                  0.1365                 -1.7178475e-006
                    0.14                 -1.9995265e-006
                  0.1435                 -2.3209137e-006
                   0.147                 -2.6866105e-006
                  0.1505                 -3.1018515e-006
                   0.154                 -3.5719206e-006
                  0.1575                 -4.1027806e-006
                   0.161                 -4.7009884e-006
                  0.1645                 -5.3727404e-006
                   0.168                 -6.1255759e-006
                  0.1715                 -6.9670081e-006
                   0.175                 -7.9056578e-006
                  0.1785                 -8.9507758e-006
                   0.182                 -1.0112289e-005
                  0.1855                 -1.1401214e-005
                   0.189                 -1.2829877e-005
                  0.1925                 -1.4411924e-005
                   0.196                 -1.6161624e-005
                  0.1995                 -1.8095449e-005
                   0.203                 -2.0230857e-005
                  0.2065                 -2.2587116e-005
                    0.21                 -2.5184464e-005
                  0.2135                 -2.8045318e-005
                   0.217                 -3.1192552e-005
                  0.2205                 -3.4651922e-005
                   0.224                 -3.8450403e-005
                  0.2275                 -4.2616221e-005
                   0.231                 -4.7180909e-005
                  0.2345                 -5.2177109e-005
                   0.238                 -5.7641414e-005
                  0.2415                 -6.3610889e-005
                   0.245                 -7.0128797e-005
                  0.2485                 -7.7241171e-005
                   0.252                 -8.4996995e-005
                  0.2555                  -9.345107e-005
                   0.259                  -0.00010265941
                  0.2625                  -0.00011268791
                   0.266                    -0.000123605
                  0.2695                  -0.00013548376
                   0.273                  -0.00014840216
                  0.2765                  -0.00016244423
                    0.28                  -0.00017770071
                  0.2835                  -0.00019426594
                   0.287                   -0.0002122405
                  0.2905                  -0.00023173809
                   0.294                   -0.0002528677
                  0.2975                  -0.00027575454
                   0.301                  -0.00030053362
                  0.3045                  -0.00032734448
                   0.308                  -0.00035634097
                  0.3115                  -0.00038769084
                   0.315                  -0.00042156772
                  0.3185                  -0.00045816872
                   0.322                  -0.00049770078
                  0.3255                  -0.00054039232
                   0.329                  -0.00058648278
                  0.3325                  -0.00063623687
                   0.336                   -0.0006899345
                  0.3395                  -0.00074788486
                   0.343                  -0.00081040244
                  0.3465                  -0.00087784763
                    0.35                  -0.00095058967
                  0.3535                   -0.0010290314
                   0.357                    -0.001113602
                  0.3605                   -0.0012047733
                   0.364                   -0.0013030436
                  0.3675                   -0.0014089379
                   0.371                   -0.0015230475
                  0.3745                   -0.0016460015
                   0.378                   -0.0017784753
                  0.3815                   -0.0019212064
                   0.385                   -0.0020749745
                  0.3885                   -0.0022406576
                   0.392                   -0.0024191683
                  0.3955                   -0.0026115145
                   0.399                   -0.0028187744
                  0.4025                   -0.0030421126
                   0.406                   -0.0032827819
                  0.4095                   -0.0035421231
                   0.413                   -0.0038216304
                  0.4165                   -0.0041228286
                    0.42                   -0.0044474418
                  0.4235                   -0.0047972725
                   0.427                   -0.0051743087
                  0.4305                    -0.005580674
                   0.434                    -0.006018688
                  0.4375                   -0.0064908495
                   0.441                   -0.0069998624
                  0.4445                   -0.0075487137
                   0.448                   -0.0081405459
                  0.4515                   -0.0087789303
                   0.455                   -0.0094676173
                  0.4585                    -0.010210774
                   0.462                    -0.011012894
                  0.4655                    -0.011878883
                   0.469                    -0.012814103
                  0.4725                    -0.013824426
                   0.476                    -0.014916225
                  0.4795                    -0.016096508
                   0.483                    -0.017372842
                  0.4865                    -0.018753637
                    0.49                    -0.020248065
                  0.4935                     -0.02186615
                   0.497                    -0.023618831
                  0.5005                    -0.025518294
                   0.504                    -0.027577763
                  0.5075                    -0.029811963
                   0.511                    -0.032236805
                  0.5145                    -0.034870065
                   0.518                    -0.037731135
                  0.5215                    -0.040841415
                   0.525                    -0.044224374
                  0.5285                    -0.047905886
                   0.532                    -0.051914146
                  0.5355                    -0.056280303
                   0.539                    -0.061038616
                  0.5425                    -0.066226202
                   0.546                    -0.071883967
                  0.5495                    -0.078056626
                   0.553                    -0.084792815
                  0.5565                    -0.092145669
                    0.56                     -0.10017262
                  0.5635                     -0.10893632
                   0.567                     -0.11850429
                  0.5705                     -0.12894926
                   0.574                     -0.14034903
                  0.5775                     -0.15278723
                   0.581                     -0.16635269
                  0.5845                     -0.18113849
                   0.588                     -0.19724262
                  0.5915                     -0.21476751
                   0.595                      -0.2338183
                  0.5985                     -0.25450192
                   0.602                     -0.27692602
                  0.6055                     -0.30119819
                   0.609                     -0.32742282
                  0.6125                     -0.35570166
                   0.616                      -0.3861278
                  0.6195                     -0.41878897
                   0.623                     -0.45376291
                  0.6265                     -0.49111562
                    0.63                      -0.5309076
                  0.6335                     -0.57318334
                   0.637                      -0.6179874
                  0.6405                     -0.66534926
                   0.644                     -0.71530715
                  0.6475                     -0.76789634
                   0.651                     -0.82317398
                  0.6545                     -0.88120358
                   0.658                     -0.94208708
                  0.6615                      -1.0059604
                   0.665                       -1.073002
                  0.6685                      -1.1434489
                   0.672                      -1.2176006
                  0.6755                      -1.2958319
                   0.679                      -1.3785856
                  0.6825                      -1.4663992
                   0.686                      -1.5598955
                  0.6895                      -1.6598117
                   0.693                      -1.7669844
                  0.6965                      -1.8823465
                     0.7                      -2.0069852
                  0.7035                      -2.1420895
                   0.707                      -2.2890191
                  0.7105                      -2.4492742
                   0.714                      -2.6245302
                  0.7175                      -2.8166316
                   0.721                      -3.0276594
                  0.7245                      -3.2598737
                   0.728                      -3.5157905
                  0.7315                      -3.7981741
                   0.735                      -4.1100743
                  0.7385                      -4.4548139
                   0.742                      -4.8360214
                  0.7455                      -5.2576411
                   0.749                      -5.7238959
                  0.7525                      -6.2393145
                   0.756                      -6.8085313
                  0.7595                      -7.4362578
                   0.763                      -8.1268546
                  0.7665                        -8.88352
                    0.77                      -9.7071703
                  0.7735                      -10.593922
                   0.777                      -11.530667
                  0.7805                      -12.487947
                   0.784                      -13.409851
                  0.7875                      -14.206163
                   0.791                      -14.760192
                  0.7945                       -14.96988
                   0.798                      -14.807129
                  0.8015                      -14.336959
                   0.805                      -13.673124
                  0.8085                      -12.921667
                   0.812                      -12.155555
                  0.8155                      -11.416254
                   0.819                      -10.723717
                  0.8225                       -10.08546
                   0.826                       -9.502281
                  0.8295                      -8.9717095
