        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                       0                 -8.6858896e-007
                  0.0035                 -5.7859648e-015
                   0.007                 -4.1273216e-013
                  0.0105                 -4.6982034e-012
                   0.014                  -2.631939e-011
                  0.0175                 -9.9770284e-011
                   0.021                 -2.9592703e-010
                  0.0245                 -7.3974524e-010
                   0.028                 -1.6327472e-009
                  0.0315                 -3.2756005e-009
                   0.035                 -6.0933837e-009
                  0.0385                 -1.0658974e-008
                   0.042                 -1.7732674e-008
                  0.0455                 -2.8266537e-008
                   0.049                 -4.3457363e-008
                  0.0525                 -6.4764341e-008
                   0.056                 -9.3937002e-008
                  0.0595                 -1.3306252e-007
                   0.063                 -1.8456795e-007
                  0.0665                  -2.513443e-007
                    0.07                 -3.3666887e-007
                  0.0735                 -4.4442531e-007
                   0.077                 -5.7898927e-007
                  0.0805                 -7.4544626e-007
                   0.084                  -9.496033e-007
                  0.0875                 -1.1982047e-006
                   0.091                 -1.4989333e-006
                  0.0945                 -1.8605357e-006
                   0.098                 -2.2930072e-006
                  0.1015                 -2.8079875e-006
                   0.105                  -3.418409e-006
                  0.1085                 -4.1392693e-006
                   0.112                 -4.9873265e-006
                  0.1155                 -5.9817685e-006
                   0.119                 -7.1443311e-006
                  0.1225                 -8.4990409e-006
                   0.126                 -1.0072842e-005
                  0.1295                 -1.1895693e-005
                   0.133                 -1.4001604e-005
                  0.1365                 -1.6427091e-005
                    0.14                 -1.9212941e-005
                  0.1435                 -2.2403599e-005
                   0.147                 -2.6048507e-005
                  0.1505                 -3.0198735e-005
                   0.154                 -3.4914612e-005
                  0.1575                 -4.0255982e-005
                   0.161                 -4.6291361e-005
                  0.1645                 -5.3093137e-005
                   0.168                 -6.0738324e-005
                  0.1715                 -6.9312425e-005
                   0.175                 -7.8903951e-005
                  0.1785                 -8.9612863e-005
                   0.182                  -0.00010154126
                  0.1855                  -0.00011480481
                   0.189                  -0.00012952153
                  0.1925                  -0.00014582666
                   0.196                   -0.0001638625
                  0.1995                  -0.00018378323
                   0.203                  -0.00020576015
                  0.2065                  -0.00022997975
                    0.21                  -0.00025664104
                  0.2135                  -0.00028596795
                   0.217                  -0.00031820517
                  0.2205                  -0.00035361574
                   0.224                  -0.00039249729
                  0.2275                  -0.00043517686
                   0.231                  -0.00048200321
                  0.2345                  -0.00053337079
                   0.238                  -0.00058971394
                  0.2415                  -0.00065149369
                   0.245                  -0.00071923536
                  0.2485                  -0.00079349849
                   0.252                  -0.00087490627
                  0.2555                  -0.00096412911
                   0.259                   -0.0010619095
                  0.2625                   -0.0011690382
                   0.266                   -0.0012863995
                  0.2695                   -0.0014149296
                   0.273                   -0.0015556512
                  0.2765                   -0.0017096792
                    0.28                   -0.0018782248
                  0.2835                   -0.0020625742
                   0.287                   -0.0022641453
                  0.2905                   -0.0024844603
                   0.294                   -0.0027251515
                  0.2975                   -0.0029880296
                   0.301                   -0.0032750053
                  0.3045                   -0.0035881852
                   0.308                   -0.0039298225
                  0.3115                   -0.0043024017
                   0.315                   -0.0047085998
                  0.3185                   -0.0051513784
                   0.322                   -0.0056338836
                  0.3255                   -0.0061596645
                   0.329                   -0.0067324861
                  0.3325                   -0.0073565839
                   0.336                    -0.008036564
                  0.3395                   -0.0087775145
                   0.343                   -0.0095849879
                  0.3465                    -0.010465159
                    0.35                    -0.011424851
                  0.3535                    -0.012471534
                   0.357                    -0.013613591
                  0.3605                    -0.014860203
                   0.364                     -0.01622155
                  0.3675                    -0.017708917
                   0.371                    -0.019334921
                  0.3745                    -0.021113427
                   0.378                    -0.023059916
                  0.3815                    -0.025191545
                   0.385                    -0.027527409
                  0.3885                    -0.030088767
                   0.392                    -0.032899231
                  0.3955                    -0.035985104
                   0.399                    -0.039375752
                  0.4025                    -0.043103853
                   0.406                    -0.047206031
                  0.4095                    -0.051723073
                   0.413                    -0.056700672
                  0.4165                    -0.062189998
                    0.42                    -0.068248481
                  0.4235                    -0.074940599
                   0.427                    -0.082338835
                  0.4305                    -0.090524754
                   0.434                    -0.099590692
                  0.4375                     -0.10964035
                   0.441                     -0.12079159
                  0.4445                     -0.13317758
                   0.448                     -0.14694966
                  0.4515                     -0.16227956
                   0.455                      -0.1793627
                  0.4585                     -0.19842187
                   0.462                      -0.2197108
                  0.4655                     -0.24351916
                   0.469                       -0.270178
                  0.4725                     -0.30006529
                   0.476                     -0.33361378
                  0.4795                     -0.37131657
                   0.483                     -0.41373867
                  0.4865                     -0.46152293
                    0.49                     -0.51540264
                  0.4935                     -0.57620985
                   0.497                     -0.64488697
                  0.5005                     -0.72249465
                   0.504                     -0.81021919
                  0.5075                     -0.90937905
                   0.511                      -1.0214204
                  0.5145                       -1.147905
                   0.518                      -1.2904905
                  0.5215                      -1.4508912
                   0.525                      -1.6308073
                  0.5285                      -1.8318352
                   0.532                      -2.0553332
                  0.5355                      -2.3022529
                   0.539                      -2.5729103
                  0.5425                      -2.8667216
                   0.546                      -3.1819082
                  0.5495                      -3.5152109
                   0.553                      -3.8615766
                  0.5565                      -4.2140675
                    0.56                      -4.5638675
                  0.5635                      -4.9006355
                   0.567                      -5.2131922
                  0.5705                      -5.4905888
                   0.574                      -5.7234065
                  0.5775                      -5.9049362
                   0.581                      -6.0320807
                  0.5845                      -6.1055946
                   0.588                      -6.1296399
                  0.5915                       -6.110858
                   0.595                       -6.057236
                  0.5985                      -5.9770688
                   0.602                      -5.8781444
                  0.6055                      -5.7672804
                   0.609                      -5.6501383
                  0.6125                      -5.5312061
                   0.616                      -5.4139154
                  0.6195                      -5.3007878
                   0.623                      -5.1936194
                  0.6265                      -5.0936582
                    0.63                      -5.0017164
                  0.6335                      -4.9182937
                   0.637                       -4.843664
                  0.6405                      -4.7779689
                   0.644                      -4.7212455
                  0.6475                      -4.6734714
                   0.651                      -4.6346022
                  0.6545                      -4.6046004
                   0.658                      -4.5834447
                  0.6615                      -4.5711376
                   0.665                      -4.5677255
                  0.6685                      -4.5733155
                   0.672                      -4.5880669
                  0.6755                       -4.612204
                   0.679                      -4.6460311
                  0.6825                      -4.6899309
                   0.686                      -4.7443766
                  0.6895                      -4.8099365
                   0.693                      -4.8872875
                  0.6965                      -4.9772105
                     0.7                      -5.0806253
                  0.7035                      -5.1985636
                   0.707                      -5.3322013
                  0.7105                      -5.4828463
                   0.714                      -5.6519611
                  0.7175                      -5.8411173
                   0.721                       -6.052007
                  0.7245                       -6.286395
                   0.728                      -6.5460602
                  0.7315                      -6.8327349
                   0.735                      -7.1479459
                  0.7385                      -7.4928569
                   0.742                       -7.868029
                  0.7455                      -8.2730798
                   0.749                      -8.7062833
                  0.7525                      -9.1640839
                   0.756                      -9.6404853
                  0.7595                      -10.126547
                   0.763                      -10.610033
                  0.7665                      -11.075393
                    0.77                       -11.50467
                  0.7735                      -11.879249
                   0.777                      -12.182672
                  0.7805                      -12.403692
                   0.784                      -12.538679
                  0.7875                       -12.59225
                   0.791                      -12.575819
                  0.7945                      -12.504969
                   0.798                      -12.396409
                  0.8015                      -12.265735
                   0.805                      -12.126053
                  0.8085                      -11.987649
                   0.812                      -11.858085
                  0.8155                      -11.742521
                   0.819                      -11.644374
                  0.8225                      -11.565675
                   0.826                      -11.507469
                  0.8295                      -11.470162
                   0.833                      -11.453675
                  0.8365                      -11.457705
                    0.84                      -11.481726
                  0.8435                      -11.525182
                   0.847                      -11.587479
                  0.8505                      -11.668025
                   0.854                       -11.76628
