        Frequency / MHz                Csh=0.3/real
----------------------------------------------------------------------
                     650                      0.89360721
                     750                      0.71284176
                     850                        0.273014
                     950                       0.3271099
                    1050                      0.32199892
                    1150                      0.20132486
                    1250                     0.074337116
                    1350                    0.0070984259
                    1450                    0.0057582255
                    1550                     0.026675057
                    1650                      0.02392094
                    1750                    0.0061645379
                    1850                   0.00027269884
                    1950                    0.0051655123
                    2050                    0.0045711287
                    2150                    0.0013900907
                    2250                    0.0006075139
                    2350                   0.00072296703
                    2450                      0.00193686
                    2550                    0.0057672191
                    2650                     0.013680961

        Frequency / MHz                Csh=0.5/real
----------------------------------------------------------------------
                     650                      0.89132987
                     750                      0.70353287
                     850                      0.29155447
                     950                      0.34583102
                    1050                      0.33329959
                    1150                      0.20250476
                    1250                     0.071054163
                    1350                    0.0055100732
                    1450                    0.0071339847
                    1550                     0.026727123
                    1650                     0.021314547
                    1750                    0.0052520603
                    1850                   0.00018691338
                    1950                    0.0055485056
                    2050                    0.0031721306
                    2150                   0.00056324243
                    2250                    0.0011697918
                    2350                    0.0020770779
                    2450                    0.0028088878
                    2550                    0.0049046962
                    2650                     0.010409302

        Frequency / MHz                Csh=0.7/real
----------------------------------------------------------------------
                     650                      0.88844311
                     750                      0.69679008
                     850                      0.31100402
                     950                      0.36343736
                    1050                      0.34318663
                    1150                      0.20319449
                    1250                     0.067892307
                    1350                    0.0041385764
                    1450                    0.0086713574
                    1550                     0.026703119
                    1650                     0.018659886
                    1750                    0.0046708426
                    1850                    0.0002352142
                    1950                    0.0059152885
                    2050                    0.0021574564
                    2150                   0.00037600904
                    2250                    0.0024879633
                    2350                    0.0042167915
                    2450                    0.0042384123
                    2550                    0.0041829767
                    2650                    0.0071444129

        Frequency / MHz                Csh=0.9/real
----------------------------------------------------------------------
                     650                      0.88480715
                     750                      0.69341358
                     850                      0.33038796
                     950                      0.37973188
                    1050                       0.3517757
                    1150                      0.20346664
                    1250                     0.064857252
                    1350                    0.0029781199
                    1450                     0.010370298
                    1550                      0.02659184
                    1650                     0.016046864
                    1750                    0.0044663697
                    1850                   0.00039796011
                    1950                    0.0062563889
                    2050                    0.0014940623
                    2150                   0.00079536459
                    2250                    0.0045642123
                    2350                    0.0071739812
                    2450                    0.0062486001
                    2550                    0.0036933856
                    2650                    0.0042650535

        Frequency / MHz                Csh=1.1/real
----------------------------------------------------------------------
                     650                      0.88026208
                     750                      0.69386587
                     850                      0.34897022
                     950                      0.39463096
                    1050                      0.35919196
                    1150                      0.20338674
                    1250                     0.061952307
                    1350                    0.0020217859
                    1450                      0.01222921
                    1550                     0.026382441
                    1650                     0.013583092
                    1750                    0.0046440292
                    1850                   0.00064840045
                    1950                    0.0065663989
                    2050                    0.0011414519
                    2150                    0.0017712231
                    2250                     0.007369554
                    2350                     0.010927499
                    2450                    0.0087962288
                    2550                    0.0035024396
                    2650                    0.0020910349

        Frequency / MHz                Csh=1.3/real
----------------------------------------------------------------------
                     650                      0.87463654
                     750                       0.6981324
                     850                       0.3662681
                     950                      0.40813219
                    1050                      0.36556178
                    1150                      0.20301306
                    1250                     0.059178713
                    1350                    0.0012616953
                    1450                     0.014244867
                    1550                     0.026065121
                    1650                     0.011384171
                    1750                    0.0051691653
                    1850                   0.00095837703
                    1950                    0.0068431897
                    2050                    0.0010559337
                    2150                    0.0032410353
                    2250                     0.010844888
                    2350                     0.015396519
                    2450                     0.011765162
                    2550                    0.0036284706
                    2650                   0.00077303719

        Frequency / MHz                Csh=1.5/real
----------------------------------------------------------------------
                     650                      0.86776731
                     750                      0.70572148
                     850                      0.38201995
                     950                      0.42028752
                    1050                       0.3710066
                    1150                       0.2023967
                    1250                     0.056536112
                    1350                   0.00068920563
                    1450                     0.016412361
                    1550                     0.025631876
                    1650                    0.0095598855
                    1750                    0.0059769676
                    1850                    0.0013024792
                    1950                    0.0070870309
                    2050                    0.0011939407
                    2150                    0.0051346533
                    2250                     0.014905049
                    2350                     0.020443491
                    2450                     0.014980661
                    2550                    0.0040361501
                    2650                    0.0002724346

        Frequency / MHz                Csh=1.7/real
----------------------------------------------------------------------
                     650                      0.85953559
                     750                       0.7158052
                     850                      0.39613338
                     950                      0.43118139
                    1050                      0.37563986
                    1150                      0.20158205
                    1250                     0.054022782
                    1350                   0.00029506993
                    1450                     0.018725094
                    1550                     0.025077363
                    1650                    0.0081986735
                    1750                    0.0069876513
                    1850                    0.0016602044
                    1950                    0.0072996894
                    2050                    0.0015143367
                    2150                    0.0073789221
                    2250                     0.019445428
                    2350                     0.025887361
                    2450                     0.018242274
                    2550                    0.0046520439
                    2650                   0.00042517315

        Frequency / MHz                Csh=1.9/real
----------------------------------------------------------------------
                     650                      0.84992439
                     750                      0.72743008
                     850                      0.40863207
                     950                      0.44091507
                    1050                      0.37956493
                    1150                       0.2006074
                    1250                     0.051635955
                    1350                    6.96025e-005
                    1450                     0.021174821
                    1550                      0.02439963
                    1650                    0.0073544923
                    1750                    0.0081213131
                    1850                    0.0020164464
                    1950                    0.0074837968
                    2050                    0.0019798249
                    2150                    0.0099016041
                    2250                     0.024349949
                    2350                     0.031524745
                    2450                     0.021363008
                    2550                    0.0053903213
                    2650                    0.0010279522

        Frequency / MHz                Csh=2.1/real
----------------------------------------------------------------------
                     650                      0.83909359
                     750                      0.73970732
                     850                      0.41961094
                     950                      0.44959632
                    1050                      0.38287477
                    1150                      0.19950533
                    1250                     0.049372024
                    1350                  2.8283681e-006
                    1450                     0.023751733
                    1550                     0.023600838
                    1650                    0.0070398906
                    1750                    0.0093082578
                    1850                     0.002360983
                    1950                    0.0076423535
                    2050                    0.0025576414
                    2150                     0.012634382
                    2250                     0.029499374
                    2350                     0.037153898
                    2450                     0.024199862
                    2550                     0.006174482
                    2650                    0.0018982188

        Frequency / MHz                Csh=2.3/real
----------------------------------------------------------------------
                     650                      0.82745329
                     750                      0.75192903
                     850                      0.42920222
                     950                      0.45733177
                    1050                      0.38565181
                    1150                      0.19830362
                    1250                     0.047226911
                    1350                  8.4613001e-005
                    1450                     0.026444539
                    1550                     0.022687626
                    1650                     0.007227054
                    1750                     0.010494219
                    1850                    0.0026875334
                    1950                    0.0077783969
                    2050                    0.0032197163
                    2150                     0.015515023
                    2250                     0.034778895
                    2350                      0.04259604
                    2450                      0.02666716
                    2550                    0.0069481721
                    2650                    0.0028983025

        Frequency / MHz                Csh=2.5/real
----------------------------------------------------------------------
                     650                      0.81569526
                     750                      0.76360388
                     850                      0.43755251
                     950                      0.46422318
                    1050                      0.38796838
                    1150                      0.19702568
                    1250                     0.045195992
                    1350                   0.00030478803
                    1450                     0.029240677
                    1550                     0.021671241
                    1650                    0.0078558184
                    1750                     0.011640889
                    1850                    0.0029927483
                    1950                    0.0078948341
                    2050                    0.0039425083
                    2150                     0.018488579
                    2250                     0.040083996
                    2350                     0.047709694
                    2450                     0.028733331
                    2550                    0.0076762693
                    2650                    0.0039358307

        Frequency / MHz                Csh=2.7/real
----------------------------------------------------------------------
                     650                       0.8047302
                     750                      0.77443849
                     850                      0.44480887
                     950                      0.47036469
                    1050                      0.38988792
                    1150                      0.19569124
                    1250                     0.043274446
                    1350                   0.00065325367
                    1450                     0.032126454
                    1550                     0.020567166
                    1650                    0.0088458825
                    1750                     0.012724022
                    1850                    0.0032752924
                    1950                    0.0079943262
                    2050                    0.0047065937
                    2150                     0.021507909
                    2250                     0.045324425
                    2350                     0.052396967
                    2450                     0.030407983
                    2550                    0.0083407958
                    2650                    0.0049543533

        Frequency / MHz                Csh=2.9/real
----------------------------------------------------------------------
                     650                       0.7955116
                     750                      0.78429339
                     850                      0.45110991
                     950                      0.47584206
                    1050                      0.39146541
                    1150                      0.19431679
