        Frequency / MHz                Csh2=0.3/real
----------------------------------------------------------------------
                     650                      0.89360722
                     750                      0.71284176
                     850                      0.27301395
                     950                      0.32710986
                    1050                      0.32199889
                    1150                      0.20132484
                    1250                     0.074337099
                    1350                    0.0070984263
                    1450                     0.005758228
                    1550                      0.02667506
                    1650                     0.023920946
                    1750                    0.0061645399
                    1850                   0.00027270016
                    1950                    0.0051655176
                    2050                    0.0045711463
                    2150                    0.0013901005
                    2250                   0.00060751959
                    2350                   0.00072296593
                    2450                    0.0019368514
                    2550                    0.0057672011
                    2650                      0.01368094

        Frequency / MHz                Csh2=2.9/real
----------------------------------------------------------------------
                     650                      0.89297917
                     750                      0.53777544
                     850                      0.50801733
                     950                      0.46232021
                    1050                      0.33023797
                    1150                      0.14941044
                    1250                     0.020391798
                    1350                    0.0077774451
                    1450                     0.036296211
                    1550                    0.0050765752
                    1650                     0.016156355
                    1750                     0.026876505
                    1850                    0.0089853682
                    1950                     0.005574478
                    2050                     0.027049505
                    2150                     0.042132284
                    2250                     0.042339608
                    2350                     0.034944407
                    2450                     0.022082334
                    2550                     0.010186918
                    2650                    0.0092636495

        Frequency / MHz                Csh2=0.5/real
----------------------------------------------------------------------
                     650                      0.89373356
                     750                      0.70684139
                     850                      0.26442262
                     950                      0.34921443
                    1050                      0.32493876
                    1150                      0.19717482
                    1250                     0.069361106
                    1350                    0.0053552684
                    1450                    0.0068041191
                    1550                     0.025990718
                    1650                     0.020201667
                    1750                    0.0062747014
                    1850                   0.00057649593
                    1950                    0.0037149852
                    2050                    0.0025924688
                    2150                    0.0003669443
                    2250                   0.00010668726
                    2350                   0.00043158263
                    2450                    0.0014507435
                    2550                    0.0041315926
                    2650                     0.010020678

        Frequency / MHz                Csh2=0.7/real
----------------------------------------------------------------------
                     650                      0.89385446
                     750                      0.69962131
                     850                      0.26769806
                     950                       0.3684514
                    1050                      0.32728059
                    1150                      0.19301044
                    1250                      0.06446846
                    1350                    0.0038053342
                    1450                    0.0080518107
                    1550                     0.025089166
                    1650                     0.016632298
                    1750                    0.0070047419
                    1850                    0.0010270742
                    1950                    0.0025149334
                    2050                     0.001115661
                    2150                  1.2528054e-006
                    2250                   0.00032652354
                    2350                    0.0008575164
                    2450                    0.0015182791
                    2550                    0.0027093095
                    2650                    0.0064139783

        Frequency / MHz                Csh2=0.9/real
----------------------------------------------------------------------
                     650                      0.89396724
                     750                      0.69088737
                     850                       0.2826614
                     950                      0.38504493
                    1050                      0.32909909
                    1150                      0.18884556
                    1250                     0.059675132
                    1350                    0.0024779465
                    1450                    0.0095193009
                    1550                     0.023948678
                    1650                     0.013429492
                    1750                    0.0082626859
                    1850                    0.0015965078
                    1950                    0.0015805378
                    2050                   0.00023102829
                    2150                   0.00042038706
                    2250                    0.0014113078
                    2350                    0.0021462933
                    2450                    0.0022724715
                    2550                    0.0017209339
                    2650                    0.0033960391

        Frequency / MHz                Csh2=1.1/real
----------------------------------------------------------------------
                     650                      0.89406851
                     750                      0.68028544
                     850                       0.3066885
                     950                      0.39927555
                    1050                      0.33046181
                    1150                      0.18469292
                    1250                     0.054996984
                    1350                    0.0014034212
                    1450                     0.011222159
                    1550                     0.022557272
                    1650                     0.010800979
                    1750                    0.0099240751
                    1850                     0.002256624
                    1950                   0.00091990734
                    2050                  1.4803656e-005
                    2150                    0.0017218912
                    2250                    0.0034521847
                    2350                     0.004359481
                    2450                     0.003750365
                    2550                    0.0013302618
                    2650                    0.0013952308

        Frequency / MHz                Csh2=1.3/real
----------------------------------------------------------------------
                     650                      0.89415384
                     750                      0.66741363
                     850                       0.3358787
                     950                      0.41143708
                    1050                      0.33142937
                    1150                       0.1805641
                    1250                     0.050449451
                    1350                    0.0006126069
                    1450                     0.013171818
                    1550                     0.020917902
                    1650                    0.0089062633
                    1750                     0.011855498
                    1850                    0.0029809081
                    1950                   0.00053391296
                    2050                   0.00052102997
                    2150                     0.003954008
                    2250                    0.0064552457
                    2350                    0.0074340021
                    2450                    0.0058558458
                    2550                    0.0015720734
                    2650                   0.00054809196

        Frequency / MHz                Csh2=1.5/real
----------------------------------------------------------------------
                     650                      0.89421746
                     750                      0.65187081
                     850                      0.36649611
                     950                      0.42181131
                    1050                      0.33205567
                    1150                      0.17646943
                    1250                     0.046047486
                    1350                   0.00013620989
                    1450                     0.015373762
                    1550                     0.019052983
                    1650                    0.0078262004
                    1750                     0.013933528
                    1850                    0.0037457638
                    1950                   0.00041648032
                    2050                    0.0017746297
                    2150                    0.0071004742
                    2250                     0.010323173
                    2350                     0.011175147
