        Frequency / MHz                S1,1/abs,dB
----------------------------------------------------------------------
                     500                      -35.023046
                     503                      -35.073512
                     506                      -35.125639
                     509                      -35.179441
                     512                       -35.23493
                     515                      -35.292117
                     518                      -35.351014
                     521                      -35.411632
                     524                      -35.473983
                     527                      -35.538075
                     530                      -35.603918
                     533                       -35.67152
                     536                      -35.740888
                     539                      -35.812027
                     542                      -35.884943
                     545                      -35.959637
                     548                      -36.036109
                     551                      -36.114359
                     554                      -36.194382
                     557                       -36.27617
                     560                      -36.359713
                     563                      -36.444998
                     566                      -36.532005
                     569                      -36.620711
                     572                      -36.711087
                     575                      -36.803102
                     578                      -36.896714
                     581                      -36.991874
                     584                      -37.088527
                     587                      -37.186608
                     590                      -37.286042
                     593                      -37.386743
                     596                      -37.488615
                     599                      -37.591545
                     602                      -37.695409
                     605                      -37.800066
                     608                      -37.905356
                     611                      -38.011103
                     614                      -38.117112
                     617                      -38.223162
                     620                      -38.329012
                     623                      -38.434394
                     626                      -38.539019
                     629                      -38.642565
                     632                      -38.744686
                     635                      -38.845007
                     638                      -38.943119
                     641                      -39.038592
                     644                      -39.130963
                     647                       -39.21974
                     650                      -39.304412
                     653                       -39.38444
                     656                      -39.459273
                     659                      -39.528342
                     662                      -39.591073
                     665                      -39.646894
                     668                      -39.695236
                     671                       -39.73555
                     674                      -39.767312
                     677                      -39.790031
                     680                      -39.803265
                     683                      -39.806623
                     686                      -39.799779
                     689                      -39.782475
                     692                      -39.754534
                     695                      -39.715855
                     698                      -39.666424
                     701                      -39.606308
                     704                      -39.535662
                     707                      -39.454711
                     710                      -39.363759
                     713                      -39.263174
                     716                      -39.153377
                     719                      -39.034844
                     722                      -38.908086
                     725                       -38.77364
                     728                      -38.632068
                     731                      -38.483937
                     734                      -38.329819
                     737                      -38.170283
                     740                      -38.005881
                     743                      -37.837154
                     746                      -37.664619
                     749                      -37.488772
                     752                      -37.310079
                     755                       -37.12898
                     758                      -36.945889
                     761                      -36.761183
                     764                       -36.57522
                     767                      -36.388321
                     770                      -36.200786
                     773                      -36.012885
                     776                      -35.824863
                     779                      -35.636944
                     782                      -35.449328
                     785                      -35.262194
                     788                      -35.075703
                     791                      -34.889999
                     794                      -34.705207
                     797                       -34.52144
                     800                      -34.338795
                     803                       -34.15736
                     806                      -33.977208
                     809                      -33.798403
                     812                      -33.621002
                     815                      -33.445048
                     818                      -33.270584
                     821                       -33.09764
                     824                      -32.926243
                     827                      -32.756414
                     830                      -32.588169
                     833                       -32.42152
                     836                      -32.256474
                     839                      -32.093036
                     842                      -31.931207
                     845                      -31.770986
                     848                      -31.612368
                     851                      -31.455349
                     854                       -31.29992
                     857                      -31.146071
                     860                      -30.993794
                     863                      -30.843073
                     866                      -30.693899
                     869                      -30.546255
                     872                      -30.400128
                     875                      -30.255503
                     878                      -30.112364
                     881                      -29.970692
                     884                      -29.830475
                     887                      -29.691693
                     890                      -29.554329
                     893                      -29.418368
                     896                      -29.283789
                     899                      -29.150578
                     902                      -29.018715
                     905                      -28.888186
                     908                       -28.75897
                     911                      -28.631052
                     914                      -28.504415
                     917                       -28.37904
                     920                      -28.254914
                     923                      -28.132015
                     926                      -28.010332
                     929                      -27.889846
                     932                      -27.770542
                     935                      -27.652402
                     938                      -27.535414
                     941                      -27.419561
                     944                      -27.304827
                     947                      -27.191198
                     950                       -27.07866
                     953                      -26.967198
                     956                      -26.856798
                     959                      -26.747446
                     962                      -26.639129
                     965                      -26.531833
                     968                      -26.425546
                     971                      -26.320253
                     974                      -26.215944
                     977                      -26.112604
                     980                      -26.010223
                     983                      -25.908788
                     986                      -25.808289
                     989                      -25.708712
                     992                      -25.610046
                     995                      -25.512282
                     998                      -25.415408
                    1001                      -25.319414
                    1004                      -25.224288
                    1007                      -25.130022
                    1010                      -25.036604
                    1013                      -24.944026
                    1016                      -24.852277
                    1019                      -24.761348
                    1022                      -24.671231
                    1025                      -24.581916
                    1028                      -24.493394
                    1031                      -24.405656
                    1034                      -24.318694
                    1037                        -24.2325
                    1040                      -24.147066
                    1043                      -24.062384
                    1046                      -23.978444
                    1049                      -23.895241
                    1052                      -23.812766
                    1055                      -23.731013
                    1058                      -23.649974
                    1061                      -23.569641
                    1064                      -23.490007
                    1067                      -23.411068
                    1070                      -23.332814
                    1073                       -23.25524
                    1076                       -23.17834
               1079.0001                      -23.102106
                    1082                      -23.026533
               1084.9999                      -22.951616
                    1088                      -22.877346
               1091.0001                      -22.803719
                    1094                      -22.730731
               1096.9999                      -22.658374
                    1100                      -22.586643
               1103.0001                      -22.515533
                    1106                      -22.445037
               1108.9999                      -22.375153
                    1112                      -22.305874
               1115.0001                      -22.237194
                    1118                       -22.16911
               1120.9999                      -22.101617
                    1124                      -22.034709
               1127.0001                      -21.968382
                    1130                      -21.902632
               1132.9999                      -21.837455
                    1136                      -21.772845
               1139.0001                      -21.708798
                    1142                       -21.64531
               1144.9999                      -21.582377
                    1148                      -21.519996
               1151.0001                      -21.458162
                    1154                      -21.396871
               1156.9999                      -21.336118
                    1160                      -21.275902
               1163.0001                      -21.216217
                    1166                      -21.157061
               1168.9999                      -21.098429
                    1172                      -21.040318
                    1175                      -20.982725
                    1178                      -20.925646
               1180.9999                      -20.869079
                    1184                      -20.813018
                    1187                      -20.757463
                    1190                      -20.702408
               1192.9999                      -20.647853
                    1196                      -20.593792
                    1199                      -20.540224
                    1202                      -20.487145
               1204.9999                      -20.434553
                    1208                      -20.382445
                    1211                      -20.330817
                    1214                      -20.279668
               1216.9999                      -20.228994
                    1220                      -20.178794
                    1223                      -20.129064
                    1226                      -20.079802
               1228.9999                      -20.031005
                    1232                      -19.982672
                    1235                      -19.934799
                    1238                      -19.887384
               1240.9999                      -19.840426
                    1244                      -19.793921
                    1247                      -19.747868
                    1250                      -19.702264
               1252.9999                      -19.657108
                    1256                      -19.612396
                    1259                      -19.568129
                    1262                      -19.524302
               1264.9999                      -19.480915
                    1268                      -19.437965
                    1271                      -19.395449
                    1274                      -19.353368
               1276.9999                      -19.311718
                    1280                      -19.270498
                    1283                      -19.229706
                    1286                      -19.189341
               1288.9999                        -19.1494
                    1292                      -19.109883
                    1295                      -19.070786
                    1298                       -19.03211
               1300.9999                      -18.993852
                    1304                      -18.956012
                    1307                      -18.918585
                    1310                      -18.881573
               1312.9999                      -18.844974
                    1316                      -18.808785
                    1319                      -18.773006
                    1322                      -18.737636
               1324.9999                      -18.702672
                    1328                      -18.668114
                    1331                      -18.633961
                    1334                      -18.600211
               1336.9999                      -18.566862
                    1340                      -18.533916
                    1343                      -18.501368
                    1346                      -18.469219
               1348.9999                      -18.437468
                    1352                      -18.406113
                    1355                      -18.375154
                    1358                      -18.344589
               1360.9999                      -18.314418
                    1364                      -18.284638
                    1367                      -18.255252
                    1370                      -18.226256
               1372.9999                      -18.197649
                    1376                      -18.169432
                    1379                      -18.141603
                    1382                       -18.11416
               1384.9999                      -18.087105
                    1388                      -18.060437
                    1391                      -18.034152
                    1394                      -18.008253
               1396.9999                      -17.982738
                    1400                      -17.957604
